Buddhist,Date,Gold_Thai,Copper,Rhodium,SP,US_Five,US_Ten,DJI,Set,GBP_THB,JPY_THB,USD_THB,,,,,,,
28-12-66,12-28-23,"33,700.00",3.9125,"4,415.00","4,782.88",3.838,3.844,"37,701.63","1,935.13",43.632,0.2437,34.27,,,,,,,
27-12-66,12-27-23,"33,650.00",3.956,"4,415.00","4,786.44",3.797,3.8,"37,661.52","1,943.01",43.939,0.2425,34.35,,,,,,,
26-12-66,12-26-23,"33,700.00",3.902,"4,415.00","4,773.45",3.896,3.9,"37,518.62","1,934.81",43.957,0.2424,34.56,,,,,,,
25-12-66,12-25-23,"33,600.00",3.905,"4,415.00","4,758.86",3.881,3.901,"37,405.90","1,929.47",43.924,0.242,34.61,,,,,,,
23-12-66,12-23-23,"33,550.00",3.901,"4,415.00","4,753.92",3.882,3.905,"37,349.27","1,932.66",43.947,0.243,34.6,,,,,,,
22-12-66,12-22-23,"33,550.00",3.925,"4,415.00","4,724.29",3.872,3.888,"37,264.53","1,915.79",44.151,0.2432,34.8,,,,,,,
21-12-66,12-21-23,"33,600.00",3.8845,"4,415.00","4,764.73",3.86,3.864,"37,520.13","1,923.30",44.211,0.2432,34.99,,,,,,,
20-12-66,12-20-23,"33,550.00",3.9075,"4,415.00","4,743.72",3.929,3.924,"37,311.82","1,917.71",44.355,0.2444,34.84,,,,,,,
13-1-66,01-13-23,"29,700.00",3.848,"4,390.00","4,725.58",3.926,3.93,"37,323.65","1,903.88",44.22,0.2438,34.98,,,,,,,
14-1-66,01-14-23,"29,750.00",3.883,"4,390.00","4,714.23",3.921,3.931,"37,194.50","1,900.63",44.235,0.2422,34.89,,,,,,,
16-1-66,01-16-23,"29,750.00",3.874,"4,390.00","4,721.04",3.913,3.93,"37,115.63","1,879.76",44.529,0.2449,34.88,,,,,,,
17-1-66,01-17-23,"29,900.00",3.835,"4,390.00","4,646.20",3.969,4.016,"36,580.03","1,877.01",44.54,0.2452,35.34,,,,,,,
18-1-66,01-18-23,"29,750.00",3.7925,"4,390.00","4,618.30",4.22,4.202,"36,442.10","1,894.51",44.85,0.2454,35.7,,,,,,,
19-12-66,12-19-23,"33,450.00",3.785,"4,390.00","4,593.39",4.25,4.239,"36,274.85","1,890.08",44.874,0.2451,35.75,,,,,,,
18-12-66,12-18-23,"33,350.00",3.8305,"4,390.00","4,576.20",4.252,4.241,"36,084.82","1,891.25",44.567,0.246,35.54,,,,,,,
16-12-66,12-16-23,"33,300.00",3.798,"4,390.00","4,568.84",4.133,4.153,"36,124.17","1,894.83",44.23,0.2457,35.14,,,,,,,
15-12-66,12-15-23,"33,500.00",3.7315,"4,390.00","4,586.23",4.105,4.11,"36,183.73","1,883.33",44.161,0.2444,35.16,,,,,,,
14-12-66,12-14-23,"33,700.00",3.786,"4,390.00","4,557.25",4.144,4.173,"36,097.44","1,891.07",44.367,0.2444,35.24,,,,,,,
13-12-66,12-13-23,"33,450.00",3.827,"4,390.00","4,564.37",4.208,4.255,"36,039.24","1,903.87",44.531,0.2446,35.25,,,,,,,
12-12-66,12-12-23,"33,400.00",3.9215,"4,490.00","4,559.43",4.158,4.22,"35,914.45","1,925.45",44.347,0.2435,34.91,,,,,,,
11-12-66,12-11-23,"33,700.00",3.855,"4,490.00","4,554.87",4.256,4.321,"35,596.57","1,916.97",44.588,0.2393,35.29,,,,,,,
9-12-66,12-09-23,"33,650.00",3.835,"4,490.00","4,571.84",4.219,4.267,"35,436.80","1,904.00",44.223,0.2396,34.83,,,,,,,
8-12-66,12-08-23,"33,750.00",3.85,"4,490.00","4,545.55",4.272,4.319,"35,332.13","1,924.10",44.113,0.2392,34.77,,,,,,,
7-12-66,12-07-23,"33,700.00",3.793,"4,390.00","4,554.86",4.396,4.402,"35,376.44","1,937.49",44.296,0.2403,35.065,,,,,,,
6-12-66,12-06-23,"33,600.00",3.823,"4,340.00","4,555.84",4.51,4.492,"35,299.90","1,947.54",44.487,0.2399,35.4,,,,,,,
5-12-66,12-05-23,"33,900.00",3.8185,"4,340.00","4,553.04",4.475,4.451,"35,189.33","1,957.26",44.201,0.2384,35.25,,,,,,,
4-12-66,12-04-23,"34,200.00",3.7647,"4,340.00","4,538.77",4.472,4.405,"35,113.50","1,938.07",44.028,0.2367,35.245,,,,,,,
2-12-66,12-02-23,"34,000.00",3.8245,"4,390.00","4,511.70",4.402,4.394,"34,928.27","1,929.48",44.114,0.2357,35.18,,,,,,,
1-12-66,12-01-23,"33,900.00",3.831,"4,490.00","4,509.55",4.435,4.414,"35,018.83","1,939.69",44.025,0.2359,35.21,,,,,,,
30-11-66,11-30-23,"33,650.00",3.7635,"4,390.00","4,497.08",4.46,4.461,"34,877.25","1,924.73",43.771,0.2365,35.11,,,,,,,
29-11-66,11-29-23,"33,450.00",3.6938,"4,340.00","4,505.30",4.417,4.439,"34,896.86","1,907.69",43.72,0.2366,35.21,,,,,,,
28-11-66,11-28-23,"33,250.00",3.714,"4,290.00","4,458.97",4.512,4.523,"34,662.83","1,905.94",44.19,0.2359,35.59,,,,,,,
27-11-66,11-27-23,"33,450.00",3.677,"4,340.00","4,406.66",4.437,4.445,"34,243.14","1,907.78",44.386,0.2359,35.525,,,,,,,
25-11-66,11-25-23,"33,350.00",3.672,"4,490.00","4,364.15",4.67,4.644,"34,048.02","1,932.18",44.178,0.2375,35.98,,,,,,,
24-11-66,11-24-23,"33,250.00",3.596,"4,540.00","4,391.41",4.684,4.654,"34,163.71","1,933.72",43.97,0.2371,35.97,,,,,,,
23-11-66,11-23-23,"33,150.00",3.6325,"4,540.00","4,384.37",4.651,4.64,"34,192.84","1,936.01",43.725,0.2332,35.74,,,,,,,
22-11-66,11-22-23,"33,200.00",3.6385,"4,290.00","4,366.21",4.506,4.484,"34,069.56","1,959.21",43.645,0.2334,35.53,,,,,,,
21-11-66,11-21-23,"32,950.00",3.687,"4,140.00","4,364.27",4.543,4.579,"34,085.31","1,936.17",43.737,0.2337,35.58,,,,,,,
20-11-66,11-20-23,"32,850.00",3.712,"4,090.00","4,334.23",4.586,4.639,"33,979.89","1,911.74",43.859,0.2351,35.515,,,,,,,
18-11-66,11-18-23,"32,900.00",3.675,"4,190.00","4,268.26",4.519,4.589,"33,468.04","1,894.35",43.879,0.2361,35.51,,,,,,,
17-11-66,11-17-23,"32,950.00",3.688,"4,240.00","4,201.27",4.637,4.662,"33,081.87","1,916.14",43.892,0.2374,35.985,,,,,,,
16-11-66,11-16-23,"33,000.00",3.6605,"4,440.00","4,171.33",4.634,4.717,"33,029.11","1,894.69",43.963,0.237,36.19,,,,,,,
15-11-66,11-15-23,"32,950.00",3.653,"4,440.00","4,139.39",4.848,4.926,"32,651.69","1,875.57",43.898,0.2371,36.12,,,,,,,
14-11-66,11-14-23,"33,100.00",3.655,"4,440.00","4,152.93",4.816,4.892,"32,772.91","1,908.21",43.693,0.2365,35.9,,,,,,,
13-11-66,11-13-23,"32,950.00",3.6425,"4,290.00","4,175.99",4.804,4.877,"33,013.92","1,920.99",43.769,0.2355,36.16,,,,,,,
11-11-66,11-11-23,"33,000.00",3.5935,"4,290.00","4,232.42",4.802,4.853,"33,203.53","1,913.31",44.025,0.2362,36.28,,,,,,,
10-11-66,11-10-23,"33,050.00",3.589,"4,740.00","4,235.79",4.898,4.949,"33,089.64","1,945.06",43.886,0.2369,36.23,,,,,,,
9-11-66,11-09-23,"32,700.00",3.6315,"5,340.00","4,210.40",4.813,4.823,"32,995.76","1,951.44",44.016,0.2372,36.2,,,,,,,
8-11-66,11-08-23,"33,000.00",3.5815,"5,490.00","4,273.85",4.808,4.859,"33,360.52","1,958.58",44.46,0.2375,36.31,,,,,,,
7-11-66,11-07-23,"33,200.00",3.559,"5,490.00","4,321.36",4.896,4.958,"33,684.83","1,957.60",44.385,0.2391,36.49,,,,,,,
6-11-66,11-06-23,"33,400.00",3.585,"5,390.00","4,357.35",4.954,4.988,"33,945.69","1,971.96",44.229,0.2395,36.42,,,,,,,
4-11-66,11-04-23,"33,450.00",3.584,"5,240.00","4,345.23",4.954,4.938,"33,856.81","1,991.65",44.169,0.2387,36.38,,,,,,,
3-11-66,11-03-23,"33,650.00",3.59,"5,240.00","4,342.37",4.87,4.838,"33,863.01","1,963.17",44.273,0.2409,36.34,,,,,,,
2-11-66,11-02-23,"33,750.00",3.5815,"4,890.00","4,360.49",4.723,4.714,"33,743.35","1,965.86",44.289,0.2419,36.25,,,,,,,
1-11-66,11-01-23,"33,900.00",3.5705,"4,390.00","4,380.94",4.667,4.648,"33,845.65","1,952.95",43.988,0.2417,36.25,,,,,,,
31-10-66,10-31-23,"33,900.00",3.587,"4,090.00","4,366.59",4.694,4.695,"33,819.47","1,988.28",44.346,0.2409,36.4,,,,,,,
30-10-66,10-30-23,"34,050.00",3.6115,"4,090.00","4,339.75",4.58,4.558,"33,691.45","1,983.09",44.856,0.2413,36.41,,,,,,,
28-10-66,10-28-23,"34,100.00",3.631,"4,090.00","4,289.02",4.612,4.655,"33,289.42","1,949.86",44.993,0.2414,36.62,,,,,,,
27-10-66,10-27-23,"33,950.00",3.656,"4,090.00","4,234.79",4.573,4.628,"33,040.70","1,990.72",45.252,0.2424,36.97,,,,,,,
26-10-66,10-26-23,"34,000.00",3.6275,"4,090.00","4,259.31",4.58,4.725,"33,099.23","2,009.48",45.14,0.2437,37.01,,,,,,,
25-10-66,10-25-23,"33,650.00",3.566,"4,090.00","4,233.83",4.694,4.75,"33,034.18","2,026.55",45.074,0.2436,36.97,,,,,,,
24-10-66,10-24-23,"33,800.00",3.583,"4,090.00","4,269.75",4.721,4.725,"33,301.70","2,048.93",44.79,0.243,36.905,,,,,,,
23-10-66,10-23-23,"34,000.00",3.6185,"4,090.00","4,284.52",4.803,4.733,"33,431.31","2,044.39",44.746,0.2429,37.08,,,,,,,
21-10-66,10-21-23,"34,100.00",3.648,"4,090.00","4,328.18",4.712,4.802,"33,882.41","2,054.69",44.667,0.2428,36.95,,,,,,,
20-10-66,10-20-23,"33,950.00",3.754,"4,090.00","4,269.65",4.655,4.679,"33,519.44","2,083.58",44.558,0.2426,36.55,,,,,,,
19-10-66,10-19-23,"33,500.00",3.7125,"4,090.00","4,282.63",4.632,4.614,"33,682.81","2,066.69",44.599,0.2428,36.56,,,,,,,
18-10-66,10-18-23,"33,150.00",3.6465,"4,090.00","4,312.88",4.683,4.579,"33,862.68","2,053.15",44.523,0.2435,36.67,,,,,,,
17-10-66,10-17-23,"32,850.00",3.6465,"4,090.00","4,310.62",4.598,4.605,"33,907.59","2,078.56",44.255,0.2431,36.4,,,,,,,
16-10-66,10-16-23,"32,850.00",3.673,"4,090.00","4,341.74",4.625,4.53,"34,077.08","2,087.39",44.208,0.2444,36.19,,,,,,,
14-10-66,10-14-23,"32,900.00",3.6955,"4,090.00","4,374.36",4.56,4.546,"34,332.23","2,103.10",44.051,0.2462,35.99,,,,,,,
13-10-66,10-13-23,"32,250.00",3.691,"4,090.00","4,452.81",4.616,4.442,"34,575.50","2,118.09",44.431,0.249,36.16,,,,,,,
12-10-66,10-12-23,"32,200.00",3.741,"4,090.00","4,445.41",4.587,4.492,"34,571.84","2,099.97",44.623,0.2478,36.14,,,,,,,
11-10-66,10-11-23,"32,150.00",3.752,"4,090.00","4,445.13",4.513,4.409,"34,639.25","2,109.71",44.648,0.2484,36.02,,,,,,,
10-10-66,10-10-23,"32,450.00",3.78,"4,090.00","4,497.98",4.451,4.365,"34,902.04","2,104.60",44.19,0.2488,35.69,,,,,,,
9-10-66,10-09-23,"32,350.00",3.7975,"4,090.00","4,487.78",4.451,4.306,"34,687.50","2,109.83",44.189,0.2479,35.71,,,,,,,
7-10-66,10-07-23,"31,950.00",3.8155,"4,090.00","4,462.65",4.415,4.306,"34,667.28","2,114.99",44.403,0.2487,35.79,,,,,,,
6-10-66,10-06-23,"31,850.00",3.785,"4,090.00","4,473.27",4.376,4.288,"34,620.02","2,112.54",44.6,0.2471,35.72,,,,,,,
5-10-66,10-05-23,"31,850.00",3.791,"4,090.00","4,480.98",4.433,4.245,"34,718.80","2,110.13",44.431,0.2445,35.6,,,,,,,
4-10-66,10-04-23,"32,000.00",3.803,"4,090.00","4,451.30",4.419,4.286,"34,512.30","2,112.84",44.409,0.2443,35.5,,,,,,,
3-10-66,10-03-23,"31,900.00",3.717,"4,090.00","4,434.55",4.424,4.298,"34,351.18","2,135.69",44.507,0.245,35.64,,,,,,,
2-10-66,10-02-23,"32,050.00",3.7605,"4,090.00","4,490.35",4.378,4.286,"34,611.68","2,138.67",44.44,0.2453,35.645,,,,,,,
30-9-66,09-30-23,"32,050.00",3.7905,"4,090.00","4,510.06",4.435,4.25,"34,824.39","2,150.77",44.45,0.2444,35.54,,,,,,,
29-9-66,09-29-23,"32,250.00",3.8375,"4,090.00","4,530.60",4.366,4.292,"34,876.24","2,152.02",44.56,0.2431,35.465,,,,,,,
28-9-66,09-28-23,"32,500.00",3.855,"4,090.00","4,517.01",4.329,4.254,"34,909.09","2,141.02",44.477,0.2422,35.25,,,,,,,
27-9-66,09-27-23,"32,750.00",3.854,"4,090.00","4,500.34",4.327,4.208,"34,847.80","2,142.46",44.121,0.2423,35.1,,,,,,,
26-9-66,09-26-23,"32,800.00",3.8505,"4,090.00","4,432.75",4.258,4.187,"34,531.12","2,127.92",44.366,0.2446,35.01,,,,,,,
25-9-66,09-25-23,"32,700.00",3.833,"4,090.00","4,426.03",4.265,4.191,"34,441.64","2,126.78",44.585,0.2441,35.05,,,,,,,
23-9-66,09-23-23,"32,750.00",3.8385,"4,090.00","4,389.38",4.293,4.114,"34,244.54","2,123.52",44.265,0.2438,35.02,,,,,,,
22-9-66,09-22-23,"32,850.00",3.8395,"4,090.00","4,455.16",4.373,4.114,"34,439.83","2,104.34",44.391,0.2417,35.22,,,,,,,
21-9-66,09-21-23,"32,850.00",3.793,"4,090.00","4,396.44",4.458,4.137,"34,338.59","2,083.62",44.197,0.2421,35.16,,,,,,,
20-9-66,09-20-23,"32,850.00",3.8165,"4,090.00","4,415.33",4.409,4.194,"34,494.17","2,087.20",44.091,0.2424,34.99,,,,,,,
19-9-66,09-19-23,"32,500.00",3.789,"4,090.00","4,380.28",4.372,4.253,"34,531.28","2,071.64",44.522,0.2427,34.98,,,,,,,
18-9-66,09-18-23,"32,400.00",3.8255,"4,090.00","4,344.88",4.483,4.231,"34,265.23","2,072.09",44.591,0.2426,35.04,,,,,,,
16-9-66,09-16-23,"32,400.00",3.7845,"4,090.00","4,416.32",4.481,4.194,"34,829.61","2,103.80",44.943,0.2419,35.22,,,,,,,
15-9-66,09-15-23,"32,250.00",3.76,"4,090.00","4,433.79",4.393,4.318,"34,914.96","2,105.63",45.062,0.2422,35.38,,,,,,,
14-9-66,09-14-23,"32,200.00",3.75,"4,090.00","4,478.87",4.401,4.354,"35,160.55","2,095.67",45.219,0.2411,35.48,,,,,,,
13-9-66,09-13-23,"32,200.00",3.688,"4,090.00","4,458.13",4.401,4.26,"35,273.89","2,084.88",45.186,0.2413,35.45,,,,,,,
12-9-66,09-12-23,"32,250.00",3.6475,"4,090.00","4,450.69",4.372,4.27,"35,111.36","2,106.00",44.944,0.2418,35.38,,,,,,,
11-9-66,09-11-23,"32,200.00",3.66,"4,090.00","4,487.16",4.371,4.252,"35,231.54","2,100.74",44.713,0.2407,35.24,,,,,,,
9-9-66,09-09-23,"32,250.00",3.727,"4,090.00","4,501.57",4.323,4.211,"35,324.28","2,096.51",44.509,0.2404,35.1,,,,,,,
8-9-66,09-08-23,"32,300.00",3.7185,"4,090.00","4,498.03",4.243,4.199,"35,345.40","2,115.74",44.525,0.2407,35.125,,,,,,,
7-9-66,09-07-23,"32,200.00",3.755,"4,090.00","4,491.58",4.139,4.172,"35,125.60","2,124.76",44.576,0.2412,35.05,,,,,,,
6-9-66,09-06-23,"32,250.00",3.7875,"4,090.00","4,513.96",4.098,4.123,"35,230.13","2,125.57",44.644,0.241,35.03,,,,,,,
5-9-66,09-05-23,"32,250.00",3.7795,"4,090.00","4,494.27",4.162,4.009,"35,194.56","2,090.51",44.543,0.2406,34.84,,,,,,,
4-9-66,09-04-23,"32,150.00",3.842,"4,090.00","4,550.93",4.155,4.012,"35,551.92","2,090.63",44.229,0.2397,34.69,,,,,,,
2-9-66,09-02-23,"32,100.00",3.852,"4,090.00","4,578.83",4.288,4.089,"35,585.99","2,092.53",44.028,0.2399,34.615,,,,,,,
1-9-66,09-01-23,"32,050.00",3.8995,"4,090.00","4,584.82",4.242,4.05,"35,465.97","2,089.23",43.84,0.2406,34.49,,,,,,,
31-8-66,08-31-23,"32,050.00",3.8445,"4,090.00","4,565.75",4.195,4.179,"35,443.49","2,080.40",43.863,0.2396,34.35,,,,,,,
30-8-66,08-30-23,"32,000.00",3.91,"4,090.00","4,598.26",4.179,4.086,"35,558.79","2,096.98",43.935,0.2397,34.22,,,,,,,
29-8-66,08-29-23,"31,900.00",4.0155,"4,090.00","4,558.96",4.186,4.013,"35,345.99","2,100.31",44.029,0.2398,34.26,,,,,,,
28-8-66,08-28-23,"31,800.00",3.93,"3,990.00","4,555.19",4.251,3.965,"35,421.49","2,082.46",44.085,0.2415,34.48,,,,,,,
26-8-66,08-26-23,"31,750.00",3.848,"3,990.00","4,543.39",4.123,3.963,"35,230.79","2,077.24",44.264,0.2403,34.195,,,,,,,
25-8-66,08-25-23,"31,700.00",3.905,"4,040.00","4,550.16",4.16,4.014,"35,274.32","2,043.15",44.48,0.2407,34.49,,,,,,,
24-8-66,08-24-23,"31,650.00",3.9265,"4,140.00","4,554.38",4.153,3.877,"35,091.98","2,032.56",44.316,0.2432,34.53,,,,,,,
23-8-66,08-23-23,"31,400.00",3.8485,"4,240.00","4,563.87",4.105,3.898,"34,991.21","2,044.24",44.267,0.2435,34.43,,,,,,,
22-8-66,08-22-23,"31,450.00",3.8185,"4,340.00","4,521.78",4.095,3.876,"34,597.08","2,046.56",44.018,0.2437,34.2,,,,,,,
21-8-66,08-21-23,"31,500.00",3.828,"4,340.00","4,508.86",3.991,3.847,"34,499.74","2,030.30",44.054,0.2425,34.04,,,,,,,
19-8-66,08-19-23,"31,650.00",3.8155,"4,340.00","4,514.61",4.012,3.85,"34,425.33","2,012.25",44.447,0.2432,34.07,,,,,,,
18-8-66,08-18-23,"31,700.00",3.833,"4,340.00","4,491.50",4.014,3.754,"34,412.31","2,042.56",45.263,0.2423,34.61,,,,,,,
17-8-66,08-17-23,"31,800.00",3.843,"4,290.00","4,467.69",4.03,3.789,"34,395.28","2,053.79",45.335,0.2433,34.65,,,,,,,
16-8-66,08-16-23,"31,850.00",3.927,"3,990.00","4,415.55",3.965,3.805,"34,056.94","2,041.08",45.345,0.2431,34.52,,,,,,,
15-8-66,08-15-23,"31,750.00",3.953,"3,990.00","4,394.23",4.07,3.815,"33,705.68","2,046.50",45.029,0.2425,34.67,,,,,,,
14-8-66,08-14-23,"31,750.00",3.854,"3,990.00","4,404.54",4.223,3.777,"33,837.07","2,019.01",44.979,0.2441,34.78,,,,,,,
12-8-66,08-12-23,"31,750.00",3.7725,"3,990.00","4,422.62",4.241,3.859,"34,171.39","1,990.16",45.142,0.2445,35.11,,,,,,,
11-8-66,08-11-23,"31,800.00",3.789,"3,990.00","4,442.04",4.351,3.962,"34,344.72","2,011.13",45.139,0.2443,35.16,,,,,,,
10-8-66,08-10-23,"31,800.00",3.782,"3,990.00","4,450.48",4.352,4,"34,369.78","2,018.71",44.821,0.244,35.19,,,,,,,
9-8-66,08-09-23,"31,850.00",3.7425,"3,990.00","4,422.44",4.249,4.062,"34,269.92","2,036.12",44.456,0.2439,34.99,,,,,,,
8-8-66,08-08-23,"31,850.00",3.7615,"4,490.00","4,374.94",4.161,4.031,"33,854.57","2,034.14",44.368,0.2425,34.9,,,,,,,
7-8-66,08-07-23,"31,750.00",3.7935,"4,890.00","4,367.48",4.165,3.938,"33,881.38","2,062.04",44.467,0.2405,35.03,,,,,,,
5-8-66,08-05-23,"31,750.00",3.7915,"4,990.00","4,337.36",4.17,3.841,"33,739.03","2,073.05",44.759,0.2402,35.31,,,,,,,
4-8-66,08-04-23,"31,700.00",3.7655,"5,190.00","4,344.84",4.127,3.854,"33,730.79","2,089.20",44.974,0.2407,35.64,,,,,,,
3-8-66,08-03-23,"31,600.00",3.6995,"5,440.00","4,354.17",3.972,3.845,"33,835.66","2,103.45",44.973,0.244,35.57,,,,,,,
2-8-66,08-02-23,"31,600.00",3.729,"5,490.00","4,355.40",4.026,3.838,"33,900.47","2,113.98",44.942,0.2437,35.24,,,,,,,
1-8-66,08-01-23,"31,750.00",3.79,"5,590.00","4,380.01",3.964,3.714,"33,990.56","2,106.53",44.741,0.2484,35.19,,,,,,,
31-7-66,07-31-23,"31,700.00",3.8005,"5,940.00","4,396.11",3.977,3.762,"34,206.66","2,115.54",44.783,0.2441,35.24,,,,,,,
29-7-66,07-29-23,"31,700.00",3.8205,"6,090.00","4,440.95",4.033,3.719,"34,464.02","2,094.39",44.754,0.2443,35.13,,,,,,,
28-7-66,07-28-23,"31,750.00",3.9005,"6,090.00","4,365.33",3.958,3.721,"33,945.98","2,090.00",44.417,0.244,34.81,,,,,,,
27-7-66,07-27-23,"31,900.00",3.9045,"6,090.00","4,366.29",3.956,3.787,"34,044.70","2,102.36",44.482,0.2429,34.84,,,,,,,
26-7-66,07-26-23,"31,950.00",3.8925,"6,090.00","4,352.61",4.034,3.727,"34,111.08","2,063.56",44.451,0.243,34.76,,,,,,,
25-7-66,07-25-23,"31,950.00",3.887,"6,090.00","4,308.32",4.032,3.732,"33,906.80","2,058.93",44.457,0.2446,34.69,,,,,,,
24-7-66,07-24-23,"31,900.00",3.8723,"6,090.00","4,304.88",3.91,3.824,"33,852.44","2,069.61",44.222,0.2437,34.61,,,,,,,
22-7-66,07-22-23,"31,900.00",3.8883,"6,190.00","4,268.69",3.996,3.76,"33,656.98","2,052.36",43.951,0.2448,34.69,,,,,,,
21-7-66,07-21-23,"31,850.00",3.8945,"6,190.00","4,285.47",4.001,3.718,"33,562.47","2,061.31",43.74,0.2493,34.64,,,,,,,
20-7-66,07-20-23,"31,750.00",3.866,"6,190.00","4,271.34",3.894,3.79,"33,547.67","2,048.29",43.329,0.2497,34.64,,,,,,,
19-7-66,07-19-23,"31,850.00",3.8285,"6,290.00","4,282.99",3.925,3.821,"33,771.13","2,077.17",43.494,0.2493,34.6,,,,,,,
18-7-66,07-18-23,"31,850.00",3.753,"6,390.00","4,241.01",3.862,3.74,"33,187.58","2,065.94",43.486,0.2504,34.63,,,,,,,
17-7-66,07-17-23,"31,950.00",3.7715,"6,390.00","4,183.03",3.926,3.745,"32,929.85","2,062.85",43.328,0.2505,34.82,,,,,,,
15-7-66,07-15-23,"31,950.00",3.7875,"6,590.00","4,190.74",3.816,3.724,"32,948.71","2,069.57",43.208,0.248,34.79,,,,,,,
14-7-66,07-14-23,"32,050.00",3.7535,"6,890.00","4,226.71",3.816,3.789,"33,103.65","2,061.94",43.248,0.2481,34.8,,,,,,,
13-7-66,07-13-23,"31,950.00",3.7665,"6,890.00","4,156.16",3.863,3.668,"32,795.50","2,060.24",43.291,0.2472,34.77,,,,,,,
12-7-66,07-12-23,"31,800.00",3.7625,"6,890.00","4,155.71",3.704,3.685,"32,854.26","2,028.44",43.327,0.247,34.575,,,,,,,
11-7-66,07-11-23,"31,850.00",3.728,"6,890.00","4,132.96",3.748,3.706,"33,021.76","2,062.46",43.142,0.2445,34.72,,,,,,,
10-7-66,07-10-23,"31,950.00",3.7125,"6,890.00","4,176.80",3.819,3.606,"33,190.60","2,063.87",43.102,0.2419,34.705,,,,,,,
8-7-66,07-08-23,"31,900.00",3.667,"6,990.00","4,190.78",3.92,3.639,"33,408.54","2,080.24",42.889,0.2415,34.72,,,,,,,
7-7-66,07-07-23,"31,800.00",3.662,"6,990.00","4,204.15",3.925,3.694,"33,582.95","2,080.94",42.91,0.2424,34.76,,,,,,,
6-7-66,07-06-23,"31,750.00",3.682,"6,990.00","4,157.68",3.915,3.765,"33,374.56","2,122.80",42.762,0.2443,34.71,,,,,,,
5-7-66,07-05-23,"31,800.00",3.6742,"6,890.00","4,122.85",3.777,3.821,"33,092.48","2,111.34",42.841,0.2444,34.65,,,,,,,
4-7-66,07-04-23,"31,850.00",3.6715,"6,890.00","4,127.95",3.75,3.817,"33,275.37","2,122.90",42.958,0.246,34.61,,,,,,,
3-7-66,07-03-23,"31,850.00",3.589,"6,990.00","4,126.65",3.765,3.817,"33,321.21","2,112.03",42.872,0.2465,34.47,,,,,,,
1-7-66,07-01-23,"31,950.00",3.557,"7,290.00","4,138.54",3.718,3.74,"33,370.58","2,113.93",42.704,0.2451,34.37,,,,,,,
30-6-66,06-30-23,"32,050.00",3.6405,"7,490.00","4,132.24",3.688,3.701,"33,383.89","2,085.19",42.724,0.2454,34.415,,,,,,,
29-6-66,06-29-23,"32,050.00",3.6805,"7,440.00","4,143.74",3.581,3.717,"33,707.20","2,055.01",42.773,0.2452,34.27,,,,,,,
28-6-66,06-28-23,"32,000.00",3.7275,"7,390.00","4,124.25",3.531,3.669,"33,589.85","2,065.68",42.6,0.2452,34.06,,,,,,,
27-6-66,06-27-23,"32,050.00",3.6975,"7,590.00","4,136.98",3.474,3.649,"33,715.15","2,071.26",42.327,0.2454,33.79,,,,,,,
26-6-66,06-26-23,"32,000.00",3.746,"7,840.00","4,084.73",3.446,3.562,"33,248.55","2,077.18",42.274,0.2454,33.93,,,,,,,
24-6-66,06-24-23,"31,950.00",3.662,"7,840.00","4,082.55",3.347,3.547,"33,347.78","2,084.78",42.343,0.2464,33.85,,,,,,,
23-6-66,06-23-23,"31,800.00",3.743,"7,940.00","4,122.25",3.385,3.507,"33,726.64","2,100.40",42.495,0.245,33.65,,,,,,,
22-6-66,06-22-23,"31,800.00",3.7235,"8,040.00","4,164.10",3.495,3.464,"34,017.62","2,096.01",42.558,0.2442,33.715,,,,,,,
21-6-66,06-21-23,"31,900.00",3.701,"8,490.00","4,166.79",3.491,3.382,"34,116.81","2,109.74",42.762,0.2437,33.87,,,,,,,
20-6-66,06-20-23,"32,000.00",3.852,"8,840.00","4,129.63",3.424,3.436,"33,797.43","2,133.12",42.839,0.2468,33.9,,,,,,,
19-6-66,06-19-23,"32,050.00",3.9035,"8,840.00","4,075.29",3.333,3.519,"33,381.66","2,143.89",42.465,0.2479,33.79,,,,,,,
17-6-66,06-17-23,"32,100.00",3.924,"8,640.00","4,087.78",3.412,3.515,"33,596.34","2,162.93",42.615,0.2473,33.93,,,,,,,
16-6-66,06-16-23,"32,000.00",3.8925,"8,390.00","4,126.43",3.467,3.448,"33,828.34","2,152.44",42.486,0.2483,34.12,,,,,,,
15-6-66,06-15-23,"31,850.00",3.861,"7,990.00","4,132.07",3.628,3.386,"33,805.04","2,161.75",42.777,0.2487,34.23,,,,,,,
14-6-66,06-14-23,"31,850.00",3.855,"7,890.00","4,132.14",3.521,3.403,"33,793.60","2,159.37",42.889,0.2486,34.13,,,,,,,
13-6-66,06-13-23,"32,000.00",3.8685,"7,890.00","4,130.48",3.589,3.431,"33,740.60","2,129.02",42.638,0.2494,34.15,,,,,,,
12-6-66,06-12-23,"32,050.00",3.9355,"7,890.00","4,139.33",3.478,3.566,"33,889.83","2,121.68",42.571,0.249,34.15,,,,,,,
10-6-66,06-10-23,"32,050.00",3.895,"7,890.00","4,164.26",3.478,3.45,"33,965.16","2,152.02",42.696,0.2491,34.4,,,,,,,
9-6-66,06-09-23,"32,100.00",3.891,"7,890.00","4,137.17",3.552,3.522,"33,930.46","2,163.55",42.875,0.2493,34.36,,,,,,,
8-6-66,06-08-23,"32,100.00",3.857,"7,490.00","4,140.11",3.663,3.443,"33,981.71","2,180.38",42.754,0.2485,34.39,,,,,,,
