Y_Date,Y
02-10-2015,19300
05-10-2015,19600
06-10-2015,19550
07-10-2015,19700
08-10-2015,19500
09-10-2015,19350
12-10-2015,19500
13-10-2015,19450
14-10-2015,19800
15-10-2015,19700
16-10-2015,19700
19-10-2015,19650
20-10-2015,19650
21-10-2015,19750
22-10-2015,19650
26-10-2015,19650
27-10-2015,19600
28-10-2015,19650
29-10-2015,19650
30-10-2015,19400
02-11-2015,19250
03-11-2015,19150
04-11-2015,18900
05-11-2015,18750
06-11-2015,18750
09-11-2015,18600
10-11-2015,18650
11-11-2015,18600
12-11-2015,18500
13-11-2015,18450
16-11-2015,18600
17-11-2015,18500
18-11-2015,18300
19-11-2015,18400
20-11-2015,18400
23-11-2015,18250
24-11-2015,18250
25-11-2015,18300
26-11-2015,18200
30-11-2015,18000
01-12-2015,18200
02-12-2015,18150
03-12-2015,17950
04-12-2015,18050
08-12-2015,18200
09-12-2015,18350
11-12-2015,18250
14-12-2015,18400
15-12-2015,18250
16-12-2015,18150
17-12-2015,18250
18-12-2015,18150
21-12-2015,18300
22-12-2015,18450
23-12-2015,18350
24-12-2015,18350
28-12-2015,18350
29-12-2015,18350
30-12-2015,18350
04-01-2016,18200
05-01-2016,18100
06-01-2016,18450
07-01-2016,18900
08-01-2016,18900
11-01-2016,19000
12-01-2016,18850
13-01-2016,18650
14-01-2016,18800
15-01-2016,18600
18-01-2016,18800
20-01-2016,18750
21-01-2016,18900
22-01-2016,18850
25-01-2016,18750
26-01-2016,18900
27-01-2016,19000
28-01-2016,19000
29-01-2016,18900
01-02-2016,18950
02-02-2016,19000
03-02-2016,19100
04-02-2016,19250
05-02-2016,19450
08-02-2016,19600
09-02-2016,20050
10-02-2016,20000
11-02-2016,20100
12-02-2016,20650
15-02-2016,20700
17-02-2016,20300
18-02-2016,20350
19-02-2016,20700
23-02-2016,20600
24-02-2016,20750
25-02-2016,20850
26-02-2016,20900
29-02-2016,20750
01-03-2016,21000
02-03-2016,20750
03-03-2016,20850
04-03-2016,21050
07-03-2016,21150
08-03-2016,21300
09-03-2016,21050
10-03-2016,20950
11-03-2016,21300
14-03-2016,20900
15-03-2016,20500
16-03-2016,20500
17-03-2016,20700
18-03-2016,20850
21-03-2016,20750
22-03-2016,20600
23-03-2016,20600
24-03-2016,20400
28-03-2016,20300
29-03-2016,20450
30-03-2016,20700
31-03-2016,20500
01-04-2016,20500
04-04-2016,20300
05-04-2016,20500
07-04-2016,20500
08-04-2016,20600
11-04-2016,20750
12-04-2016,20800
18-04-2016,20550
19-04-2016,20450
20-04-2016,20700
21-04-2016,20700
22-04-2016,20750
25-04-2016,20550
26-04-2016,20650
27-04-2016,20700
28-04-2016,20700
29-04-2016,21050
03-05-2016,21350
04-05-2016,21300
09-05-2016,21400
10-05-2016,21100
11-05-2016,21200
12-05-2016,21250
13-05-2016,21200
16-05-2016,21400
17-05-2016,21400
18-05-2016,21500
19-05-2016,21300
23-05-2016,21200
24-05-2016,21150
25-05-2016,20850
26-05-2016,20800
27-05-2016,20550
30-05-2016,20450
01-06-2016,20600
02-06-2016,20550
03-06-2016,20450
06-06-2016,20800
07-06-2016,20800
08-06-2016,20800
09-06-2016,20950
10-06-2016,21150
13-06-2016,21250
14-06-2016,21350
15-06-2016,21500
16-06-2016,21650
17-06-2016,21450
20-06-2016,21450
21-06-2016,21500
22-06-2016,21200
23-06-2016,21100
24-06-2016,21400
27-06-2016,22200
28-06-2016,22100
29-06-2016,22050
30-06-2016,21950
04-07-2016,22400
06-07-2016,22750
07-07-2016,22800
08-07-2016,22600
11-07-2016,22800
12-07-2016,22600
13-07-2016,22250
14-07-2016,22350
15-07-2016,22100
20-07-2016,22100
21-07-2016,21850
22-07-2016,22000
25-07-2016,21850
26-07-2016,21900
27-07-2016,21900
28-07-2016,22100
29-07-2016,22100
01-08-2016,22250
02-08-2016,22250
03-08-2016,22450
04-08-2016,22450
05-08-2016,22500
08-08-2016,22200
09-08-2016,22100
10-08-2016,22200
11-08-2016,22150
15-08-2016,22100
16-08-2016,22050
17-08-2016,22100
18-08-2016,22200
19-08-2016,22100
22-08-2016,22000
23-08-2016,21950
24-08-2016,21950
25-08-2016,21800
26-08-2016,21700
29-08-2016,21650
30-08-2016,21700
31-08-2016,21600
01-09-2016,21550
02-09-2016,21550
05-09-2016,21750
07-09-2016,22100
08-09-2016,22100
09-09-2016,22050
12-09-2016,21950
13-09-2016,22000
14-09-2016,21900
15-09-2016,21900
16-09-2016,21750
19-09-2016,21750
20-09-2016,21750
21-09-2016,21700
22-09-2016,21900
23-09-2016,21900
26-09-2016,21950
27-09-2016,21900
28-09-2016,21750
29-09-2016,21750
30-09-2016,21750
03-10-2016,21650
04-10-2016,21550
05-10-2016,21000
06-10-2016,20950
07-10-2016,20800
10-10-2016,20900
11-10-2016,21000
12-10-2016,21050
13-10-2016,21250
14-10-2016,21050
17-10-2016,21050
18-10-2016,21000
19-10-2016,20950
20-10-2016,21050
21-10-2016,21050
25-10-2016,21000
26-10-2016,21100
27-10-2016,21050
28-10-2016,21150
31-10-2016,21150
01-11-2016,21150
02-11-2016,21400
03-11-2016,21500
04-11-2016,21550
07-11-2016,21450
08-11-2016,21300
09-11-2016,21550
10-11-2016,21400
11-11-2016,21100
14-11-2016,20500
15-11-2016,20600
16-11-2016,20650
17-11-2016,20600
18-11-2016,20400
21-11-2016,20450
22-11-2016,20500
23-11-2016,20450
24-11-2016,20100
28-11-2016,20150
29-11-2016,20100
30-11-2016,20150
01-12-2016,19800
02-12-2016,19900
06-12-2016,19850
07-12-2016,19800
08-12-2016,19900
09-12-2016,19750
13-12-2016,19650
14-12-2016,19600
15-12-2016,19400
16-12-2016,19250
19-12-2016,19350
20-12-2016,19400
21-12-2016,19400
22-12-2016,19350
23-12-2016,19350
27-12-2016,19400
28-12-2016,19500
29-12-2016,19600
30-12-2016,19700
04-01-2017,19750
05-01-2017,19900
06-01-2017,19950
09-01-2017,19950
10-01-2017,19950
11-01-2017,20050
12-01-2017,20050
13-01-2017,20050
16-01-2017,20150
18-01-2017,20300
19-01-2017,20200
20-01-2017,20200
23-01-2017,20300
24-01-2017,20300
25-01-2017,20250
26-01-2017,20050
27-01-2017,19900
30-01-2017,19950
31-01-2017,20000
01-02-2017,20050
02-02-2017,20050
03-02-2017,20100
06-02-2017,20200
07-02-2017,20350
08-02-2017,20400
09-02-2017,20450
10-02-2017,20250
14-02-2017,20300
15-02-2017,20300
16-02-2017,20350
17-02-2017,20400
20-02-2017,20400
22-02-2017,20400
23-02-2017,20400
24-02-2017,20550
27-02-2017,20650
28-02-2017,20600
01-03-2017,20700
02-03-2017,20650
03-03-2017,20500
06-03-2017,20500
07-03-2017,20400
08-03-2017,20300
09-03-2017,20250
10-03-2017,20100
13-03-2017,20150
14-03-2017,20150
15-03-2017,20100
16-03-2017,20350
17-03-2017,20350
20-03-2017,20300
21-03-2017,20250
22-03-2017,20500
23-03-2017,20450
24-03-2017,20450
27-03-2017,20500
28-03-2017,20450
29-03-2017,20450
30-03-2017,20450
31-03-2017,20300
03-04-2017,20300
04-04-2017,20450
05-04-2017,20500
07-04-2017,20800
10-04-2017,20600
11-04-2017,20600
12-04-2017,20850
17-04-2017,20950
18-04-2017,20900
19-04-2017,20900
20-04-2017,20850
24-04-2017,20800
25-04-2017,20750
26-04-2017,20650
27-04-2017,20700
02-05-2017,20600
03-05-2017,20550
04-05-2017,20400
08-05-2017,20250
09-05-2017,20200
11-05-2017,20150
15-05-2017,20200
16-05-2017,20200
17-05-2017,20300
18-05-2017,20550
22-05-2017,20400
23-05-2017,20550
24-05-2017,20450
25-05-2017,20450
30-05-2017,20500
31-05-2017,20400
01-06-2017,20500
05-06-2017,20600
06-06-2017,20650
07-06-2017,20800
08-06-2017,20750
12-06-2017,20500
13-06-2017,20450
14-06-2017,20400
15-06-2017,20100
19-06-2017,20150
20-06-2017,20100
21-06-2017,20100
22-06-2017,20200
26-06-2017,20200
27-06-2017,20050
28-06-2017,20150
29-06-2017,20150
03-07-2017,20000
05-07-2017,19800
06-07-2017,19800
11-07-2017,19650
12-07-2017,19650
13-07-2017,19700
17-07-2017,19700
18-07-2017,19700
19-07-2017,19800
20-07-2017,19750
24-07-2017,19850
25-07-2017,19850
26-07-2017,19850
27-07-2017,19900
31-07-2017,20000
01-08-2017,20050
02-08-2017,20000
03-08-2017,19950
07-08-2017,19900
08-08-2017,19900
09-08-2017,19950
10-08-2017,20050
15-08-2017,20100
16-08-2017,20100
17-08-2017,20250
21-08-2017,20250
22-08-2017,20300
23-08-2017,20250
24-08-2017,20350
28-08-2017,20350
29-08-2017,20700
30-08-2017,20650
31-08-2017,20500
05-09-2017,20950
06-09-2017,21000
07-09-2017,20950
11-09-2017,21000
12-09-2017,20850
13-09-2017,20850
14-09-2017,20750
18-09-2017,20700
19-09-2017,20500
20-09-2017,20550
21-09-2017,20450
25-09-2017,20300
26-09-2017,20550
27-09-2017,20450
28-09-2017,20300
02-10-2017,20200
03-10-2017,20200
04-10-2017,20150
05-10-2017,20150
09-10-2017,20250
10-10-2017,20350
11-10-2017,20300
12-10-2017,20300
16-10-2017,20400
17-10-2017,20300
18-10-2017,20250
19-10-2017,20100
24-10-2017,20150
25-10-2017,20100
30-10-2017,20050
31-10-2017,20100
01-11-2017,20000
02-11-2017,20100
06-11-2017,20000
07-11-2017,20100
08-11-2017,20050
09-11-2017,20100
13-11-2017,20050
14-11-2017,20050
15-11-2017,20050
16-11-2017,20000
20-11-2017,20100
21-11-2017,19950
22-11-2017,19900
27-11-2017,20000
28-11-2017,20050
29-11-2017,20000
30-11-2017,19850
04-12-2017,19800
06-12-2017,19600
07-12-2017,19600
12-12-2017,19300
13-12-2017,19250
14-12-2017,19400
18-12-2017,19300
19-12-2017,19500
20-12-2017,19500
21-12-2017,19550
26-12-2017,19850
27-12-2017,19950
28-12-2017,20000
03-01-2018,20050
04-01-2018,20050
08-01-2018,20150
09-01-2018,20150
10-01-2018,20050
11-01-2018,20050
16-01-2018,20250
17-01-2018,20250
18-01-2018,20100
22-01-2018,20150
23-01-2018,20150
24-01-2018,20150
25-01-2018,20250
29-01-2018,20050
30-01-2018,19950
31-01-2018,19950
01-02-2018,20000
05-02-2018,19850
06-02-2018,20150
07-02-2018,19850
08-02-2018,19800
12-02-2018,19850
13-02-2018,19850
14-02-2018,19850
15-02-2018,20050
20-02-2018,20000
21-02-2018,19900
22-02-2018,19850
26-02-2018,19850
27-02-2018,19850
28-02-2018,19700
05-03-2018,19750
06-03-2018,19700
07-03-2018,19800
08-03-2018,19750
12-03-2018,19650
13-03-2018,19650
14-03-2018,19650
15-03-2018,19600
19-03-2018,19450
20-03-2018,19500
21-03-2018,19450
22-03-2018,19650
26-03-2018,19900
27-03-2018,19950
28-03-2018,19900
02-04-2018,19650
03-04-2018,19800
04-04-2018,19700
05-04-2018,19700
09-04-2018,19750
10-04-2018,19750
11-04-2018,19800
12-04-2018,19950
17-04-2018,19900
18-04-2018,19900
19-04-2018,19950
23-04-2018,19850
24-04-2018,19850
25-04-2018,19800
26-04-2018,19800
30-04-2018,19750
02-05-2018,19650
03-05-2018,19700
07-05-2018,19800
08-05-2018,19850
09-05-2018,19900
