Date,Dollar_Index,World_Gold_Price,Dow_Jones_Avg,Set_Index,Thai_Five_Bond,Thai_Ten_Bond,Oil_Price,Usd_Thb,Con_Index,Interest_Rate,Spx,Xag_Usd,Rhodium,Eur_Usd,Nyse,Bvn,Us_Five_Year,Us_Ten_Year,Copper,Palladium,Sales
ส.ค.21,92.63,"1,813.43","33,843.92","1,605.68",0.81,1.88,75.03,33.67,"4,307.54",22.2,"13,690",1.1581,"16,144.90",6.76,0.971,1.492,4.37,"1,902.10",99.63,0.5,"27,898.08"
ก.ค.21,92.17,"1,813.58","35,360.73","1,638.75",0.55,1.59,68.5,32.22,"4,522.68",23.89,"17,590",1.1807,"16,806.40",7.5,0.775,1.307,4.4655,"2,471",99.81,0.5,"27,792.59"
มิ.ย.21,92.44,"1,769.80","34,935.47","1,521.92",0.68,1.59,73.95,32.89,"4,395.26",25.46,"18,390",1.187,"16,602.30",8.26,0.693,1.226,4.289,"2,662.70",99.93,0.5,"27,209.62"
พ.ค.21,90.03,"1,906.36","34,502.51","1,587.79",0.65,1.62,73.47,32.02,"4,297.50",26.1,"20,090",1.1855,"16,555.30",9.05,0.891,1.468,4.681,"2,781.50",99.55,0.5,"27,226.92"
เม.ย.21,91.28,"1,768.59","34,529.45","1,593.59",0.78,1.76,66.32,31.19,"4,204.11",28.05,"25,290",1.2225,"16,555.70",11.52,0.788,1.581,4.468,"2,830.10",100.48,0.5,"25,957.69"
มี.ค.21,93.23,"1,707.01","33,874.85","1,583.13",0.81,1.67,63.58,31.14,"4,181.17",25.9,"29,490",1.2018,"16,219.30",9.72,0.849,1.626,4,"2,959.60",99.11,0.5,"25,031.48"
ก.พ.21,90.88,"1,733.49","32,981.55","1,587.21",0.82,1.78,59.16,31.24,"3,972.89",24.39,"26,190",1.1728,"15,601.70",10.03,0.938,1.744,4.0925,"2,617.50",98.88,0.5,"25,650.00"
ม.ค.21,90.58,"1,846.09","30,932.37","1,496.78",0.89,1.65,61.5,30.47,"3,811.15",26.62,"26,590",1.2074,"15,010.50",11.06,0.73,1.407,3.558,"2,313.50",99.79,0.5,"26,459.62"
ธ.ค.20,89.94,"1,896.49","29,982.62","1,466.98",0.64,1.22,52.2,29.86,"3,714.24",27,"19,290",1.2136,"14,397.20",10.18,0.426,1.071,3.519,"2,219.30",99.7,0.5,"26,366.67"
พ.ย.20,91.87,"1,777.02","30,606.48","1,449.35",0.53,1.165,48.52,30.04,"3,756.07",26.36,"16,990",1.2213,"14,524.80",12.19,0.361,0.916,3.4335,"2,459.70",99.55,0.5,"26,906.00"
ต.ค.20,94.04,"1,877.95","29,638.64","1,408.31",0.74,1.34,45.34,30.28,"3,621.63",22.6,"16,090",1.1928,"14,006.50",11.1,0.364,0.842,3.0515,"2,405.90",99.59,0.5,"28,057.41"
ก.ย.20,93.89,"1,885.44","26,501.60","1,194.95",0.795,1.37,35.79,31.14,"3,269.96",23.63,"13,490",1.1647,"12,429.30",12.27,0.384,0.874,3.0325,"2,227.80",99.54,0.5,"28,461.54"
ส.ค.20,92.14,"1,969.75","27,781.70","1,237.04",0.81,1.35,40.22,31.6,"3,363.00",23.21,"13,890",1.1718,"12,701.90",12.22,0.278,0.686,3.0555,"2,335.20",99.65,0.5,"28,978.85"
ก.ค.20,93.35,"1,974.69","28,430.05","1,310.66",0.835,1.46,42.61,31.07,"3,500.31",28.22,"12,190",1.1936,"13,045.60",14.08,0.269,0.706,2.877,"2,279.30",99.36,0.5,"27,205.56"
มิ.ย.20,97.39,"1,780.67","26,428.32","1,328.53",0.735,1.22,40.27,31.25,"3,271.12",24.37,"8,890",1.1774,"12,465.00",11.86,0.209,0.533,2.7285,"2,157.80",98.7,0.5,"25,494.23"
พ.ค.20,98.34,"1,726.30","25,812.88","1,339.03",0.785,1.22,39.27,30.9,"3,100.29",18.13,"7,990",1.1231,"11,893.80",9.14,0.288,0.658,2.4345,"1,962.50",97.18,0.5,"25,903.85"
