Y,DJI,Set_One,GBP_THB,EURUSD,Oil,XAG,XAU_XAG,Rhodium,Copper,SP_FIVE,JPY_THB,BVN ,Set,NYSE,USD_THB,TenBond_THB
33900,33013.92,1908.21,43.89,1.0558,85.37,22.8449,86.87,"4,290.00",3.6425,"4,152.93",0.2409,8.44,"1,394.50","14,858.70",36.28,3.32
34050,33203.53,1920.99,44.02,1.057,83.69,22.9132,86.81,"4,290.00",3.5935,"4,175.99",0.2413,8.61,"1,401.25","14,914.10",36.23,3.27
33950,33089.64,1913.31,44.46,1.0591,86.15,22.9582,85.98,"4,740.00",3.589,"4,232.42",0.2414,8.68,"1,395.92","15,025.80",36.2,3.35
34000,33360.52,1945.06,44.23,1.0669,90.28,23.0242,85.92,"5,490.00",3.6315,"4,235.79",0.2424,8.51,"1,420.24","14,946.00",36.31,3.33
33650,33684.83,1951.44,44.17,1.0586,88.24,22.8255,85.75,"5,490.00",3.5815,"4,273.85",0.243,8.43,"1,425.07","15,196.40",36.42,3.37
33800,33945.69,1958.58,44.27,1.0535,87.81,22.819,85.17,"5,390.00",3.585,"4,321.36",0.2429,8.37,"1,432.94","15,325.00",36.38,3.31
33950,33856.81,1957.6,44.29,1.0575,87.06,22.6437,84.33,"5,240.00",3.584,"4,357.35",0.2428,8.47,"1,431.83","15,541.40",36.34,3.17
33500,33863.01,1971.96,43.99,1.056,87.72,22.75,85.06,"5,240.00",3.59,"4,345.23",0.2426,8.48,"1,443.89","15,484.50",36.25,3.29
33150,33819.47,1963.17,44.99,1.0507,85.96,21.8427,84.99,"4,090.00",3.5815,"4,342.37",0.2428,8.39,"1,438.08","15,323.70",36.25,3.27
32850,33691.45,1965.86,45.25,1.0605,86.43,21.846,85.29,"4,090.00",3.5705,"4,366.59",0.2462,8.28,"1,441.84","15,450.20",36.62,3.22
32850,33099.23,1983.09,44.79,1.0567,84.45,21.0261,85.03,"4,090.00",3.631,"4,339.75",0.249,8.3,"1,454.57","15,318.10",36.97,3.29
