Y
33700
33650
33700
33550
33600
33550
29700
29900
29750
33450
33350
33500
33700
33450
33400
33700
33600
34200
33900
33650
33450
33250
33450
33250
33200
32950
32850
32950
33000
32950
33100
32950
33050
32700
33000
33200
33900
33900
34050
33950
34000
33650
33800
33950
33500
33150
32850
32850
32150
32450
31850
32000
31900
32050
32250
32500
32750
32800
32700
32850
32850
32850
32500
32400
32250
32200
32200
32200
32300
32250
32250
32050
32050
32000
31900
31800
31700
31650
31400
31450
31500
31700
31800
31850
31750
31800
31850
31850
31600
31600
31700
31900
31950
31950
31900
31850
31750
31850
31850
31950
32050
31950
31800
31850
31800
31750
31850
32050
32050
32000
32050
32000
31800
31800
31900
32000
32000
31850
31850
32000
32050
32100
32200
32150
32250
32150
32050
31850
31900
32100
32200
32050
32100
31900
32050
32150
32250
32200
32250
32300
32250
32050
32150
32350
32350
32300
32450
32350
32500
32500
32500
32500
32300
32350
32000
31850
31700
31800
31800
31950
32000
31750
31650
31800
31600
31150
31100
31000
31000
30550
30250
30050
30150
30150
30100
30250
30000
29950
29900
29850
30000
29950
29800
29700
29750
29650
29650
29600
29700
29700
29900
30100
29900
29800
29800
29950
30000
29950
29850
29800
29900
29750
29650
29700
29700
29600
29750
29750
29600
29600
29650
29500
29550
29700
29700
29500
29450
29450
29500
29550
29300
29400
29350
29400
29350
29350
29450
29650
29650
29700
29750
29700
29850
29900
29850
29850
29850
29800
29700
29500
29500
29250
29300
29350
29450
29500
29650
29700
29700
29700
29500
29550
29700
29750
29750
29950
30100
30300
30350
29750
29700
29650
29250
29250
29300
29450
29300
29200
29200
29150
29100
29400
29500
29550
29500
29500
29550
29600
29550
29750
29800
29700
29750
29750
29800
29700
29600
29700
29650
29700
29850
30000
29850
29900
30000
30200
30150
30250
29800
29850
29850
29800
29450
29600
29650
29600
29650
29650
29750
29700
29850
30150
30200
30300
30150
30400
30650
30650
30650
30600
30700
30600
30200
30100
30150
30550
30150
30150
29950
30100
29800
29850
29850
29950
30050
29900
30000
29900
29650
29600
29850
30000
30400
30350
30500
30550
30800
30600
30850
30650
30950
31200
31200
31100
31500
31500
30750
