Y,BVN,EUR_USD,JPY_THB,NYSE,TenBond_THB,USD_THB,Oil_Crud
31950.00,7.82,1.11,0.24,16289.10,2.56,34.43,75.70
31950.00,7.55,1.11,0.24,16263.70,2.47,34.20,75.35
31900.00,7.42,1.12,0.24,16230.90,2.47,34.04,75.84
31850.00,7.30,1.12,0.24,16156.50,2.47,34.07,74.18
31750.00,7.73,1.12,0.25,16054.20,2.48,34.61,75.02
31850.00,7.84,1.12,0.25,16040.20,2.42,34.65,77.16
31850.00,7.95,1.12,0.25,16106.80,2.42,34.52,75.85
31950.00,7.70,1.11,0.25,16011.30,2.44,34.67,74.83
32050.00,8.02,1.10,0.25,15897.30,2.43,34.78,73.19
31950.00,7.92,1.10,0.25,15748.90,2.47,35.11,71.89
31800.00,7.70,1.09,0.24,15641.70,2.54,35.19,71.80
31850.00,7.65,1.09,0.24,15835.50,2.52,34.99,70.45
31800.00,7.32,1.09,0.24,15875.90,2.56,35.31,69.82
31750.00,7.35,1.09,0.25,15737.40,2.50,35.64,69.25
31850.00,7.39,1.09,0.25,15617.40,2.52,35.57,68.01
32050.00,7.15,1.10,0.25,15646.70,2.50,35.24,69.49
32050.00,7.13,1.09,0.25,15518.70,2.52,35.19,69.84
32000.00,7.14,1.09,0.25,15469.30,2.46,35.24,69.53
32050.00,7.52,1.10,0.25,15600.70,2.39,35.13,72.43
32000.00,7.52,1.10,0.25,15657.00,2.37,34.81,70.90
31800.00,7.56,1.09,0.25,15648.90,2.47,34.84,71.45
31800.00,7.35,1.09,0.25,15795.10,2.47,34.76,70.55
31900.00,7.50,1.09,0.25,15826.30,2.52,34.61,68.70
32000.00,7.44,1.08,0.25,15642.70,2.62,34.69,69.35
32000.00,7.40,1.08,0.25,15667.80,2.55,34.64,67.31
31850.00,7.28,1.08,0.25,15548.50,2.64,34.64,70.27
31850.00,7.28,1.08,0.25,15499.90,2.74,34.60,70.94
32000.00,7.13,1.08,0.25,15502.60,2.69,34.63,71.56
32050.00,7.00,1.07,0.25,15391.80,2.93,34.79,71.99
32100.00,7.55,1.07,0.25,15275.20,3.05,34.80,70.21
32200.00,6.96,1.08,0.25,15031.10,3.22,34.58,67.60
32150.00,6.87,1.07,0.25,14887.10,3.16,34.72,69.62
32250.00,7.04,1.07,0.25,14994.60,2.97,34.71,73.23
32150.00,6.88,1.07,0.25,15078.70,3.11,34.72,71.89
32050.00,6.59,1.07,0.25,14976.00,3.11,34.71,74.21
31850.00,6.61,1.08,0.25,15022.90,3.12,34.65,73.77
31900.00,6.72,1.08,0.25,15172.30,2.83,34.61,72.10
32100.00,6.93,1.08,0.25,15318.80,2.83,34.47,71.70
32200.00,7.15,1.08,0.25,15324.30,2.70,34.37,71.94
32050.00,7.05,1.08,0.25,15345.40,2.59,34.42,72.75
32100.00,7.01,1.08,0.25,15313.90,2.45,34.27,70.60
31900.00,6.99,1.09,0.25,15129.30,2.45,34.06,71.32
32050.00,7.00,1.09,0.25,15322.60,2.47,33.79,70.04
32150.00,7.01,1.09,0.25,15246.40,2.45,33.93,71.42
32250.00,7.00,1.10,0.25,15352.80,2.51,33.72,73.58
32200.00,7.08,1.10,0.25,15391.30,2.57,33.87,72.84
32250.00,7.19,1.11,0.25,15233.80,2.35,33.93,74.91
32300.00,7.10,1.10,0.25,15545.90,2.38,34.13,74.38
32250.00,7.28,1.10,0.26,15431.60,2.46,34.15,77.08
32050.00,7.21,1.10,0.26,15228.60,2.49,34.15,78.74
32150.00,7.29,1.10,0.26,15363.50,2.44,34.40,77.97
32350.00,7.34,1.10,0.26,15606.70,2.44,34.36,77.13
32350.00,7.56,1.10,0.26,15578.90,2.55,34.39,78.87
32300.00,7.51,1.10,0.26,15582.90,2.55,34.33,80.92
32450.00,7.51,1.10,0.26,15653.60,2.53,34.44,81.00
32350.00,7.77,1.10,0.26,15685.00,2.53,34.28,82.48
32500.00,7.87,1.09,0.26,15668.30,2.77,34.50,81.44
32500.00,7.75,1.10,0.26,15601.80,2.77,34.29,80.50
32500.00,7.93,1.09,0.26,15520.90,2.70,34.28,81.01
32500.00,8.24,1.09,0.26,15379.10,2.88,34.16,80.44
32300.00,8.37,1.09,0.26,15487.80,2.86,34.22,74.37
32350.00,8.08,1.09,0.26,15200.60,2.88,34.13,72.98
32000.00,8.29,1.08,0.26,15124.00,2.90,34.18,73.61
31850.00,8.14,1.08,0.26,14949.30,2.97,34.26,72.86
31700.00,8.20,1.08,0.26,14894.80,3.05,34.43,69.42
31800.00,8.20,1.08,0.26,14758.60,3.05,34.22,69.51
31800.00,8.17,1.08,0.26,14693.00,3.20,33.99,69.95
31950.00,8.04,1.09,0.26,14741.10,3.04,34.28,69.48
32000.00,8.15,1.08,0.26,14986.00,2.87,34.43,67.62
31750.00,8.27,1.07,0.26,14777.70,2.87,34.08,66.62
31650.00,8.11,1.07,0.26,14599.00,2.90,34.09,68.26
31800.00,8.30,1.06,0.26,14831.00,2.99,34.45,68.22
31600.00,8.41,1.06,0.26,14662.50,3.10,34.64,71.56
31150.00,8.13,1.07,0.26,14944.70,3.39,34.58,74.70
31100.00,8.16,1.07,0.26,14764.40,3.33,34.52,76.60
31000.00,8.37,1.06,0.26,14894.20,3.36,34.76,75.65
31000.00,8.05,1.06,0.26,15140.80,2.71,34.98,77.32
30550.00,8.15,1.05,0.26,15439.00,2.75,35.10,80.50
30250.00,8.01,1.07,0.25,15694.30,2.21,34.47,77.89
30050.00,8.04,1.06,0.25,15524.50,2.21,34.82,77.74
30150.00,8.29,1.07,0.25,15436.30,2.09,34.71,76.85
30150.00,8.63,1.06,0.26,15429.00,2.15,35.23,75.76
30100.00,8.29,1.06,0.26,15492.90,2.15,35.01,76.42
30250.00,7.75,1.05,0.26,15464.50,2.13,34.96,75.60
30000.00,7.40,1.06,0.26,15584.90,2.18,34.69,73.92
29950.00,7.42,1.06,0.26,15530.80,2.20,34.62,76.11
29900.00,7.30,1.06,0.26,15572.50,2.10,34.60,76.53
29850.00,7.46,1.07,0.26,15840.20,2.09,34.39,78.07
30000.00,7.70,1.07,0.26,15873.80,2.07,34.37,78.54
29950.00,7.45,1.07,0.26,16016.10,2.03,34.27,78.83
29800.00,7.24,1.07,0.25,16025.10,2.00,33.89,79.06
29700.00,7.24,1.07,0.26,16052.30,1.95,33.81,79.94
29750.00,7.21,1.07,0.26,15910.70,1.95,33.71,77.68
29650.00,7.34,1.07,0.26,15828.60,1.99,33.59,77.49
29650.00,7.41,1.07,0.26,16021.60,1.88,33.54,73.23
29600.00,7.47,1.08,0.25,15999.40,1.99,33.44,75.92
29700.00,7.75,1.09,0.26,16122.60,1.99,33.01,76.79
29700.00,7.64,1.10,0.25,16121.30,1.99,32.82,79.06
29900.00,7.70,1.09,0.25,15818.90,1.90,32.78,77.91
30100.00,8.37,1.09,0.25,15962.60,1.92,32.83,80.04
29900.00,8.03,1.09,0.25,15985.90,1.88,32.82,81.22
29800.00,7.91,1.09,0.25,15889.30,2.00,32.77,80.48
29800.00,8.25,1.09,0.25,15868.20,2.00,32.80,80.26
29950.00,8.43,1.09,0.25,15880.10,1.99,32.73,81.62
30000.00,8.48,1.09,0.25,15777.50,1.96,32.74,81.79
29950.00,8.29,1.08,0.26,15569.60,1.97,32.92,80.84
29850.00,8.28,1.08,0.26,15649.10,1.99,32.96,79.43
29800.00,8.15,1.08,0.26,15883.60,1.96,33.00,81.34
29900.00,8.06,1.08,0.26,15918.40,1.95,33.04,80.34
29750.00,7.95,1.09,0.26,15859.50,1.90,33.20,78.58
29650.00,8.11,1.08,0.25,15749.10,1.95,33.43,77.90
