Y,BOND10THB,OIL,SET,USD_THB,XAU_USD
26250,1.41,27.84,1253.92,32.66,1729.43
26250,1.42,29.2,1252.5,32.7,1714.09
25700,1.44,30.3,1229.21,32.69,1682.25
25350,1.49,30.82,1220.78,32.73,1644.28
25400,1.47,29.21,1202,32.73,1645.94
25650,1.45,30.21,1184.87,32.83,1662.38
25050,1.64,27.34,1150.86,32.94,1609.99
24850,1.62,24.19,1113.91,33.11,1590.75
24650,1.55,24.18,1117.51,32.75,1569.45
24900,1.47,24.25,1108.79,32.67,1612.25
24900,1.46,24.68,1087.35,32.54,1617.38
24800,1.47,26.23,1112.83,32.63,1634.99
24550,1.49,27.04,1074.64,32.75,1620.16
24800,1.52,26.64,1063.23,32.76,1618.79
24450,1.5,25.87,1064.33,32.83,1565.36
23250,1.57,24.4,1045.65,32.7,1508.25
22800,1.77,25.59,1077.65,32.6,1470.39
23000,1.59,22.82,1019.07,32.61,1486.1
23450,1.32,27.3,1053.04,32.16,1527.3
22700,1.32,28.99,1045.09,32.15,1512.05
23300,1.2,32.69,1072.3,31.84,1550.59
23750,1.03,31.35,1008.06,31.76,1576.83
24450,1.03,33.43,1184.16,31.5,1634.69
24700,0.98,35,1268.56,31.43,1649.69
24800,0.89,30.75,1262.8,31.47,1678.9
25250,0.89,32.87,1272.95,31.42,1694.6
25000,0.96,46.22,1373.19,31.56,1670.66
24400,1,47.38,1391.35,31.34,1635.83
24450,1.01,47.1,1361.44,31.42,1639.85
23850,1.1,47.98,1357.72,31.49,1590.78
23750,1.075,43.93,1355.99,31.53,1590.99
24550,1.08,46.68,1348.46,31.68,1642.14
24850,1.05,48.7,1369.83,31.85,1640.56
24750,1.065,50.22,1425.56,31.75,1635.46
24800,1.09,51.5,1436.24,31.7,1660.72
24950,1.1,52.79,1473.57,31.64,1658.96
24250,1.1,53.93,1480.53,31.45,1619.79
23800,1.15,53.7,1504.48,31.21,1611.71
23600,1.13,52.36,1517.78,31.21,1601.8
23400,1.15,52.49,1521,31.185,1583.31
23350,1.215,52.34,1528.48,31.205,1584.75
23200,1.26,51.73,1537.16,31.145,1576.29
23150,1.29,51.87,1539.31,31.115,1565.62
23150,1.28,50.16,1530.59,31.265,1567.73
23200,1.21,49.78,1538.31,31.325,1572.01
23100,1.28,51.31,1536.28,31.14,1566.96
22850,1.33,51.35,1538.29,30.99,1556.88
22900,1.35,49.68,1521.67,30.98,1552.57
23200,1.295,50.04,1501.34,31.08,1576.3
23400,1.3,51.15,1507.28,31.205,1589.85
23200,1.35,52.97,1528.86,31.1,1574.27
23200,1.355,53.1,1516.36,30.97,1576.98
22850,1.38,54,1522.88,30.83,1566.21
23000,1.35,52.72,1519.55,30.71,1582.05
22950,1.36,53.57,1546.9,30.58,1579.99
22550,1.4,55.72,1575.07,30.51,1563.29
22400,1.435,56.13,1570.66,30.4,1558.93
22350,1.43,58.24,1579.25,30.41,1558.03
22500,1.46,59.35,1584.17,30.36,1560.85
22400,1.47,59.28,1597.5,30.38,1558.56
22400,1.45,58.61,1600.28,30.38,1552.9
22300,1.425,58.12,1582.77,30.31,1556.17
22200,1.43,58.23,1582.96,30.255,1546.26
22100,1.41,58.06,1589.68,30.205,1548.31
22300,1.385,59.08,1586.13,30.235,1562.29
22200,1.4,59.51,1583.48,30.275,1552.26
22400,1.41,59.85,1572.74,30.365,1555.76
22750,1.35,62.63,1569.82,30.305,1573.99
22250,1.375,62.67,1578.52,30.165,1565.93
22500,1.41,63.43,1584.13,30.165,1560.59
21900,1.48,60.96,1596.95,30.155,1529.11
21650,1.495,61.29,1584.35,30.145,1517.13
21600,1.495,61.49,1581.05,30.165,1511.49
21450,1.5,61.07,1573.81,30.165,1499.41
21150,1.565,60.19,1574.85,30.195,1478.2
21150,1.555,60.81,1558.8,30.235,1475.29
21150,1.585,60.49,1555.55,30.255,1476.45
21150,1.58,60.16,1551.71,30.225,1476.25
21600,1.605,59.83,1572.64,30.205,1475.45
21100,1.545,58.77,1558.6,30.265,1474.85
21000,1.54,58.98,1555.38,30.325,1464.04
21000,1.605,59.03,1559.84,30.345,1459.19
21200,1.59,56.33,1562.22,30.265,1477.21
20950,1.64,56,1562.63,30.275,1462.5
20900,1.64,55.45,1588.59,30.225,1466.73
20900,1.675,58.2,1611.85,30.225,1461.35
20850,1.695,57.85,1618.15,30.235,1455.28
20950,1.71,57.83,1603.13,30.205,1462.14
21050,1.67,56.91,1594.95,30.195,1471.4
21050,1.69,55.26,1599.42,30.195,1472.39
21000,1.735,57,1605.47,30.205,1470.85
21000,1.73,57.97,1605.19,30.255,1467.51
20950,1.73,57.42,1616.61,30.245,1463.18
20950,1.73,56.83,1621.91,30.335,1457.19
20950,1.73,56.91,1625.42,30.345,1455.79
21100,1.74,57.38,1632.77,30.375,1458.96
21400,1.61,56.37,1623.64,30.295,1490.29
21350,1.63,57.3,1627.23,30.255,1484.1
21550,1.6,56.6,1628.73,30.215,1509.64
21600,1.555,56.47,1601.9,30.185,1513.8
21400,1.58,54.99,1606.71,30.215,1496.39
21350,1.59,55.62,1594.4,30.255,1487.6
21400,1.59,55.88,1601.44,30.24,1492.64
21550,1.55,56.7,1591.64,30.175,1504.21
21400,1.57,55.9,1636.07,30.285,1492.3
21300,1.595,53.6,1625.06,30.265,1484.66
21400,1.575,53.83,1630.43,30.315,1492.02
21450,1.55,53.08,1638.98,30.365,1490.4
21400,1.545,52.98,1629.88,30.435,1481.28
21500,1.54,53.56,1631.05,30.415,1493.25
21650,1.51,52.61,1614.07,30.335,1505.6
21650,1.49,52.57,1610.65,30.425,1506.06
21550,1.49,52.7,1620.29,30.47,1493.4
21750,1.47,52.59,1611.74,30.455,1504.76
21750,1.49,52.31,1606.38,30.615,1499.55
21450,1.5,53.85,1617.83,30.625,1479.19
21300,1.495,54.13,1637.59,30.595,1472.3
21700,1.52,56.39,1643.13,30.635,1497.08
21900,1.53,56.55,1633.92,30.605,1503.89
22150,1.485,56.45,1624.69,30.545,1531.6
21950,1.505,58.21,1623.6,30.475,1522.5
21900,1.525,58.98,1635.31,30.485,1516.65
21650,1.555,58.17,1656.66,30.535,1493.6
21700,1.59,58.62,1663.62,30.525,1501.4
21700,1.59,61.72,1661.59,30.515,1499.45
21750,1.62,60.16,1666.77,30.485,1503.59
21650,1.63,55.85,1678.32,30.585,1497.45
21650,1.71,57.76,1669.36,30.615,1486.45
21650,1.69,57.91,1675.1,30.645,1499.6
21950,1.55,56.68,1673.22,30.645,1507.1
22350,1.48,55.77,1670.91,30.555,1552.45
22350,1.46,53.75,1650.87,30.615,1547.05
22150,1.475,54.76,1657.3,30.635,1529.6
22150,1.445,55.69,1621.92,30.635,1539.2
22300,1.43,55.54,1618.3,30.625,1541.69
22150,1.46,53.65,1625.04,30.595,1526.25
22300,1.47,53.16,1620.36,30.675,1539.25
21900,1.54,55.7,1628.1,30.785,1502.1
21950,1.55,55.78,1628.55,30.785,1507.7
21850,1.535,56.13,1642.82,30.865,1495.55
22050,1.5,54.95,1639.42,30.915,1511
22150,1.46,54.92,1605,30.835,1516.74
21900,1.525,56.73,1634.72,30.805,1501.38
22050,1.51,54.68,1642.82,30.845,1510.61
21800,1.58,52.24,1670.93,30.825,1501.95
21550,1.72,53.37,1672.52,30.735,1474.25
21350,1.72,54.8,1652.72,30.835,1464.2
21050,1.77,55.36,1675.02,30.755,1440.6
20600,1.9,57.96,1706.56,30.905,1411.21
20800,1.885,58.42,1704.04,30.795,1430.91
20800,1.895,57.07,1718.55,30.875,1426.71
20850,1.96,56,1727.13,30.915,1426.6
20800,1.985,57.26,1727.81,30.905,1417.26
20750,1.995,56.28,1730.7,30.835,1425.15
20800,1.94,56.2,1733.24,30.835,1425.15
20750,1.99,56.72,1714.75,30.895,1426.9
20600,1.99,57.65,1726.04,30.935,1406.41
20650,2,60.36,1733.77,30.905,1415.9
20600,1.99,60.5,1745.85,30.655,1419.4
20350,2.02,58.45,1726.73,30.815,1397.8
20350,1.995,57.69,1728.46,30.825,1395.3
20350,2.05,57.89,1727.1,30.775,1399.95
20600,2.05,56.59,1733.51,30.575,1419.95
20250,2.13,59.23,1738.84,30.665,1383.4
20250,2.19,59.14,1744.13,30.675,1392.83
20500,2.17,59.3,1726.77,30.755,1409.56
20650,2.17,58.86,1717.19,30.765,1423.91
20650,2.16,57.8,1716.05,30.665,1419.17
20450,2.21,57.8,1722.64,30.815,1401.35
20250,2.18,54.38,1711.37,31.195,1360.36
19900,2.18,54.3,1693.85,31.225,1346.56
19900,2.17,52.15,1667.3,31.365,1340.09
19850,2.16,52.71,1674.26,31.245,1341.91
19750,2.18,51.31,1669.53,31.285,1334
19700,2.25,53.3,1669.08,31.265,1326.78
19750,2.25,53.6,1667.55,31.345,1328.26
19750,2.26,54.4,1661.72,31.275,1335.96
19750,2.255,51.8,1648.54,31.41,1332.36
19700,2.315,53.01,1647.52,31.32,1325.5
19650,2.3,53,1624.65,31.33,1325.05
19300,2.415,59.21,1619.26,31.83,1279.71
19350,2.415,59.29,1631.29,31.85,1279.71
19400,2.43,59.01,1627.86,31.83,1285.59
19300,2.455,61.35,1622.21,31.94,1273.8
19300,2.48,63.04,1616.55,31.96,1274.61
19300,2.47,63.3,1608.82,31.88,1277.95
19350,2.44,62.33,1623.33,31.55,1296.75
19350,2.46,61.56,1636.83,31.52,1297.17
19450,2.45,61.06,1631.52,31.63,1300.11
19300,2.475,61.8,1648.09,31.555,1286.56
19350,2.47,62.13,1653.12,31.81,1280.49
19450,2.455,61.58,1662.05,31.91,1284.16
19400,2.46,62.15,1669.38,31.88,1281.55
19350,2.475,63.7,1677,32,1276.81
19400,2.48,63.5,1668.02,31.915,1279.98
19450,2.455,62.98,1665.57,31.91,1286.4
19400,2.47,65.85,1673.25,32.05,1275.6
19300,2.49,66.13,1674.43,31.99,1272.31
19300,2.49,65.75,1674.82,31.895,1275.26
19350,2.48,64.07,1677.83,31.83,1275.83
19300,2.51,64.46,1665.68,31.84,1276.86
19650,2.45,64.51,1661.57,31.74,1307.95
19650,2.455,64.2,1659.29,31.77,1303.96
19600,2.45,64.4,1650.55,31.88,1297.24
19450,2.495,62.56,1649.39,31.74,1289.95
19450,2.5,62.7,1653.08,31.785,1292.21
19400,2.54,61.92,1650.54,31.68,1287.55
19450,2.5,60.36,1645.37,31.68,1291.33
19800,2.41,59.61,1626.6,31.91,1309.85
19800,2.43,60.16,1632.27,31.63,1315.81
19750,2.45,59.22,1626.89,31.55,1321.51
19700,2.42,59.24,1632.03,31.72,1313.05
19750,2.49,60.25,1631.79,31.65,1312.64
19600,2.59,59.29,1631.44,31.685,1305.61
19600,2.55,59.31,1617.87,31.71,1303.45
19500,2.545,58.75,1628.85,31.63,1301.64
19550,2.535,58.65,1642.36,31.61,1309.61
19550,2.53,57.4,1626.42,31.65,1302.01
19450,2.54,57.1,1631.88,31.68,1293.71
19500,2.52,56.43,1633.45,31.74,1298.7
19450,2.54,56.57,1624.76,31.86,1286.71
19400,2.57,56.65,1636.68,31.76,1287.62
19500,2.56,56.93,1633.51,31.85,1286.67
19550,2.555,56.15,1641.32,31.785,1293.62
19700,2.495,57.43,1666.33,31.45,1320.18
19750,2.48,56.35,1663.92,31.28,1328.91
19700,2.495,55.9,1665.89,31.27,1327.44
19700,2.5,57.62,1665.3,31.32,1328.57
19750,2.47,57.66,1646.96,31.09,1338.89
19800,2.495,56.39,1639.16,31.145,1341.25
19500,2.45,54.31,1658.41,31.4,1306.16
19450,2.445,53.71,1649.09,31.315,1310.88
19450,2.46,52.78,1637.48,31.43,1308.55
19550,2.44,53.04,1644.75,31.48,1314.22
19400,2.4,54.26,1659.94,31.26,1305.87
19500,2.425,54.05,1655.14,31.25,1315.03
19500,2.43,55.13,1653.53,31.31,1311.75
19500,2.41,55.6,1655.42,31.3,1317.55
19550,2.43,54.44,1640.34,31.26,1320.18
19550,2.42,53.54,1626.55,31.455,1312.27
19500,2.445,52.37,1623,31.525,1303.53
19450,2.44,53.91,1627.71,31.52,1303.49
19300,2.42,52.76,1619.12,31.69,1282.74
19350,2.465,53.28,1601.72,31.78,1285.34
19300,2.47,53.95,1587.82,31.8,1279.73
19400,2.475,52.6,1578.14,31.7,1293.99
19500,2.485,52.29,1581.37,31.91,1289.13
19550,2.52,51.08,1587.17,31.915,1291.76
19550,2.525,52.03,1592.58,31.9,1287.16
19550,2.56,52.5,1590.07,31.96,1293.11
19500,2.6,50.16,1604.21,32.02,1285.36
19550,2.52,49.09,1594.07,31.96,1289.13
19550,2.49,48.61,1584.74,31.96,1285.78
19700,2.38,46.56,1571.48,32.27,1285.12
19650,2.51,46.12,1567.09,32.05,1281.62
19600,2.41,46.87,1582.22,32.58,1266.89
19600,2.41,43.07,1556.95,32.635,1270.33
19350,2.5,47.77,1594.86,32.75,1243.7
19350,2.57,46.31,1582.58,32.72,1249.67
19350,2.61,49.46,1594.1,32.8,1246.01
19250,2.62,51.52,1612.87,32.83,1237.25
19300,2.645,51.43,1638.96,32.77,1246.02
19350,2.61,52.14,1642.42,32.85,1243.25
19350,2.55,51.1,1646.87,32.89,1244.53
19300,2.58,53.15,1653.09,32.74,1237.87
19150,2.64,53.31,1674.53,32.8,1231.35
19100,2.64,51.93,1662.15,32.97,1223.12
19050,2.69,50.48,1646.62,32.9,1221.43
19050,2.67,52.3,1636.59,33.05,1214.64
19150,2.65,51.72,1630.08,33.03,1222.65
19150,2.63,50.71,1621.99,33.08,1224
19100,2.66,53.52,1603.73,32.97,1221.55
19050,2.665,57.51,1631.81,32.94,1224.37
19050,2.72,57.03,1634.1,32.87,1221.76
18850,2.73,56.24,1656.6,32.96,1210.87
18800,2.71,55.49,1655.09,32.96,1202.26
18900,2.72,59.03,1645.42,33.17,1200.96
19000,2.75,60.85,1672.85,33.06,1209.46
19100,2.75,61.82,1685.29,32.82,1225.99
19200,2.75,61.87,1673.65,32.93,1227.24
19250,2.75,62.84,1677.45,32.93,1231.66
19200,2.75,63.02,1670.46,32.85,1233.36
19100,2.785,65.03,1672.14,33.11,1215.2
19250,2.81,66.41,1651.07,33.27,1223
19350,2.785,66.81,1638.83,33.28,1230.17
19350,2.8,67.66,1632.26,32.99,1234.16
19250,2.8,66.47,1605.91,32.93,1234.59
19150,2.8,66.32,1641.61,32.855,1231.06
18950,2.78,69.6,1669.82,32.55,1228.61
18900,2.75,69.94,1692.15,32.53,1222.35
18900,2.74,72.07,1708.09,32.5,1224.08
18950,2.75,71.54,1697.56,32.65,1227.12
18650,2.75,72.54,1679.27,33,1195.01
18550,2.775,74.65,1709.34,32.95,1189.59
18600,2.8,74.14,1699.99,32.92,1189.01
18650,2.78,74.4,1719.71,32.78,1203.14
18500,2.68,76.05,1735.74,32.51,1197.35
18500,2.69,74.95,1753.79,32.34,1203.39
18250,2.71,75.12,1757.33,32.27,1189.2
18250,2.68,73.07,1762.3,32.315,1192.55
18450,2.69,71.86,1751.7,32.44,1194.8
18500,2.69,71.91,1752.52,32.4,1201.23
18450,2.71,71.94,1753.66,32.42,1198.84
18450,2.71,70.75,1751.29,32.39,1198.56
18550,2.72,70.98,1757.42,32.405,1204.16
18550,2.74,69.46,1749.63,32.56,1197.84
18550,2.7,68.58,1718.49,32.595,1202.14
18550,2.72,68.7,1717.99,32.67,1193.18
18650,2.71,70.02,1691.04,32.71,1207.3
18600,2.725,69.61,1672.04,32.78,1198.93
18600,2.675,67.41,1690.65,32.825,1195.73
18650,2.64,67.64,1686.78,32.79,1195.12
18650,2.66,68.34,1685.38,32.78,1197.19
18600,2.67,69.09,1709.26,32.81,1191.18
18650,2.645,69.49,1722.56,32.68,1201.29
18700,2.64,69.37,1726.28,32.7,1206.32
18650,2.64,68.23,1721.36,32.58,1201.28
18650,2.62,68.6,1723.96,32.56,1211.45
18700,2.635,68.2,1710.04,32.59,1206.92
18600,2.62,67.72,1705.63,32.69,1195.83
18550,2.62,65.72,1695.94,32.65,1196.68
18600,2.63,65.44,1703.82,32.93,1190.59
18700,2.615,65.21,1698.97,33.17,1183.71
18550,2.625,64.35,1673.33,33.32,1175.73
18900,2.62,65.92,1688.64,33.29,1194.5
18950,2.61,66.75,1692.77,33.36,1194.17
19150,2.62,65.95,1722.69,33.23,1213.89
19150,2.65,68.26,1709.16,33.22,1210.7
19150,2.64,67.89,1701.01,33.365,1207.67
19200,2.64,67.55,1718,33.24,1214.1
19200,2.645,66.63,1716.33,33.15,1215.25
19250,2.6,67.34,1705.48,33.2,1224
19300,2.63,68.83,1704.04,33.3,1221.73
19400,2.6,68.05,1700.53,33.24,1231.31
19400,2.63,67.43,1678.63,33.37,1224.31
19450,2.64,66.68,1684.2,33.445,1225.06
19500,2.67,66.59,1672.11,33.32,1231.28
19400,2.66,67.96,1641.22,33.3,1227.42
19450,2.615,66.72,1632.17,33.325,1227.73
19600,2.63,67.11,1624.68,33.26,1240.83
19650,2.63,69.52,1638.35,33.295,1241.76
19700,2.66,69.21,1634.73,33.32,1242.06
19750,2.6,72.67,1631.63,33.17,1255.81
19750,2.63,72.19,1629.01,33.07,1257.69
19750,2.6,71.59,1626.11,33.13,1255.12
19750,2.58,71.68,1626.78,33.155,1256.9
19600,2.61,71.75,1607.2,33.16,1242.21
19650,2.62,72,1597.01,32.985,1253.5
19650,2.58,70.7,1623.67,33.05,1251.91
19650,2.61,69.46,1631.39,33.025,1258.21
19800,2.64,67.23,1615.79,32.94,1265.72
19850,2.665,67.55,1641.02,32.915,1272.66
19750,2.68,64.9,1663.63,32.81,1268.58
19800,2.65,64.93,1647.22,32.75,1274.75
19850,2.66,65.7,1667.47,32.675,1278.41
19850,2.61,64.22,1694.24,32.62,1279.16
19750,2.595,66.49,1714.52,32.14,1299.85
19750,2.59,65.94,1726.47,32.09,1295.47
19750,2.57,66.03,1725.91,32.065,1300.09
19750,2.56,65.5,1723.8,32.01,1299.17
19600,2.58,65.03,1743.63,31.92,1296.41
19650,2.58,65.43,1737.23,31.935,1297.15
19600,2.635,64.93,1722.38,32,1292.34
19650,2.63,65.65,1718.92,31.995,1293.16
19750,2.685,68.1,1730.02,32.02,1301.51
19800,2.67,66.7,1717.5,32.1,1299.02
19700,2.7,71.76,1747.17,32.105,1294.06
19650,2.755,71.93,1756.2,31.995,1291.5
19650,2.77,72.62,1769.23,32.165,1292.85
19700,2.71,71.5,1761.04,32.185,1290.9
19650,2.64,71.62,1752.24,32.03,1291.13
19700,2.62,71.14,1757.9,32.12,1290.32
19850,2.57,71.22,1773.41,31.91,1313.09
19950,2.555,70.5,1770.32,31.875,1318.56
20000,2.61,71.15,1762.33,32.13,1312.12
19900,2.61,69.97,1761.19,31.94,1314.46
19850,2.51,69.93,1780.49,31.855,1313.57
19800,2.495,69.69,1785.65,31.73,1315.03
19700,2.52,67.57,1786.55,31.77,1305.18
19650,2.475,67.34,1777.27,31.7,1304.38
19750,2.46,68.04,1782.1,31.485,1322.81
19800,2.5,67.89,1780.01,31.53,1322.39
19800,2.47,67.64,1781.28,31.46,1330.12
19850,2.48,68.78,1796.5,31.54,1324.71
19850,2.445,68.05,1800.78,31.34,1335.81
19950,2.46,68.73,1778.2,31.205,1349.33
19900,2.45,66.69,1761.83,31.21,1347.5
19900,2.43,66.4,1766.82,31.22,1345.65
19950,2.43,66.69,1764.2,31.12,1352.7
19800,2.435,65.42,1763.31,31.195,1339.94
19750,2.435,63.31,1757,31.28,1336.87
19750,2.44,62.03,1737.08,31.25,1333.14
19700,2.45,63.63,1735.74,31.22,1333.02
19700,2.445,63.53,1767.46,31.19,1332.82
19800,2.44,62.82,1773.7,31.24,1340.69
19650,2.44,64.84,1774.72,31.19,1326.2
19900,2.45,64.65,1797.84,31.22,1345.74
19950,2.45,65.41,1807.79,31.13,1353.51
19900,2.445,65.81,1797.27,31.18,1347.91
19650,2.455,65.29,1809,31.17,1332.15
19450,2.465,63.53,1806.92,31.2,1311.28
19500,2.455,62.2,1793.62,31.19,1317
19450,2.435,62.3,1812.33,31.215,1313.94
19600,2.415,61,1815.12,31.16,1324.39
19650,2.425,60.88,1805.22,31.24,1326.42
19650,2.42,61.33,1797.8,31.3,1322.81
19650,2.42,61.95,1789.16,31.335,1323.69
19750,2.395,61.22,1785.44,31.325,1325.84
19800,2.39,62.13,1797.04,31.31,1334.5
19700,2.405,62.43,1812.27,31.42,1320.36
19750,2.4,61.37,1812.27,31.43,1323.75
19700,2.425,62.7,1828.62,31.48,1318.53
19850,2.415,63.85,1842.92,31.28,1333.13
19850,2.44,63.47,1811.54,31.4,1327.56
19850,2.45,61.17,1801.08,31.545,1323.93
19900,2.455,61.38,1812.49,31.515,1329.82
20000,2.445,61.51,1811.16,31.41,1346.74
20050,2.45,60.55,1799.69,31.335,1350.78
19850,2.415,58.88,1805.68,31.47,1329.53
19850,2.435,59.24,1804.64,31.65,1322.29
19850,2.45,58.77,1790,31.705,1315.04
19800,2.425,61.45,1787.24,31.66,1318.61
19850,2.42,63.63,1801.94,31.51,1325.16
20150,2.395,63.15,1775.42,31.64,1339.68
19850,2.38,64.69,1798.42,31.47,1332.32
20000,2.38,64.53,1833.53,31.34,1345.4
19950,2.385,63.68,1820.35,31.41,1338.87
19950,2.38,65.39,1834.37,31.43,1340.67
20050,2.345,66.01,1835.9,31.35,1350.07
20250,2.34,65.65,1843.3,31.54,1358.48
20150,2.35,64.25,1831.39,31.815,1341.45
20150,2.37,63.85,1830.92,31.84,1334.45
20150,2.37,63.5,1819.14,31.84,1334.88
20100,2.36,64,1836.35,31.95,1327.75
20250,2.305,63.82,1819.13,31.93,1338.29
20250,2.305,64.33,1829.09,31.93,1340.06
20050,2.34,63.34,1795.08,32.16,1316.89
20050,2.39,63.31,1803.14,32.27,1313.28
20150,2.345,61.89,1795.89,32.23,1320.63
20150,2.33,61.59,1799.59,32.16,1320.04
20050,2.36,61.83,1786.64,32.34,1312.53
20050,2.355,60.37,1759.61,32.445,1318.16
20000,2.37,59.58,1755.55,32.81,1287.31
19950,2.39,59.83,1756.16,32.77,1283.64
19850,2.4,58.48,1751.05,32.76,1274.91
19550,2.43,58.05,1739.54,32.72,1265.62
19500,2.42,57.68,1734.45,32.75,1261.69
19500,2.43,57.34,1727.22,32.64,1261.7
19300,2.42,57.4,1720.41,32.51,1253.79
19400,2.44,56.67,1709.52,32.53,1255.54
19250,2.44,57.43,1704.01,32.6,1243.88
19300,2.41,58.11,1709.54,32.61,1242.25
19600,2.37,56.09,1693.81,32.63,1264.26
19600,2.385,57.53,1694.96,32.62,1266.62
19800,2.39,58.44,1704.7,32.59,1272.93
19850,2.35,57.45,1702.54,32.57,1283.88
20000,2.37,57.84,1710.33,32.59,1293.9
20050,2.41,57.99,1696.06,32.62,1294.85
20000,2.42,58.92,1693.99,32.68,1288.57
19900,2.38,57.26,1715.29,32.76,1280.38
19950,2.38,56.51,1716.74,32.82,1276.7
20100,2.39,56.8,1715.02,32.83,1292.68
20000,2.38,55.51,1692.79,33.01,1278.47
20050,2.385,55.25,1700.05,33.05,1281
20050,2.385,56.96,1688.96,33.07,1278.17
20050,2.38,57.16,1686.89,33.07,1275.16
20100,2.32,57.07,1718.02,33.12,1281.62
20050,2.31,57.22,1714.3,33.135,1275.85
20100,2.3,57.49,1716.26,33.1,1281.82
20000,2.31,56.2,1703.17,33.17,1269.49
20100,2.34,54.52,1714.62,33.14,1274.91
20000,2.38,54.86,1728.8,33.24,1270.88
20100,2.38,54.29,1721.02,33.23,1276.29
20050,2.38,54.35,1720.12,33.22,1273.59
20100,2.32,52.75,1708.37,33.18,1276.85
20150,2.29,52.08,1694.33,33.195,1282.01
20100,2.26,52.26,1707.7,33.15,1281.25
20250,2.26,52.17,1723.43,33.12,1285.18
20300,2.25,52.2,1726.29,33.06,1295.32
20400,2.24,51.7,1719.67,33.05,1303.88
20300,2.245,51.29,1718.06,33.18,1292.01
20300,2.29,51.24,1714.73,33.25,1287.91
20350,2.32,49.87,1694.53,33.37,1284.35
20250,2.31,49.65,1698.73,33.47,1275.45
20150,2.31,50.2,1689.91,33.35,1275.16
20150,2.31,50.5,1693.92,33.385,1271.64
20200,2.36,50.92,1691.73,33.42,1270.71
20200,2.32,51.84,1677.22,33.31,1279.5
20300,2.29,52.35,1672.62,33.31,1281.11
20450,2.29,52.4,1671.15,33.21,1293.61
20550,2.22,52.12,1671.81,33.095,1309.9
20300,2.27,50.68,1660.55,33.07,1297.67
20450,2.34,50.72,1671.29,33.1,1301.02
20550,2.35,49.84,1671.96,33.08,1310.94
20500,2.36,49.91,1673.13,33.09,1307.3
20700,2.34,49.85,1663.34,33.1,1320.5
20750,2.35,49.31,1646.37,33.14,1323.56
20850,2.315,48.34,1648.04,33.11,1331.95
20850,2.255,48.12,1641.5,33.12,1327.86
21000,2.24,47.58,1637.67,33.12,1337.45
20950,2.28,49.14,1623.97,33.14,1334.27
21000,2.28,48.59,1620.86,33.17,1339.55
20950,2.3,47.28,1620.7,33.16,1335.07
20500,2.39,45.95,1611.53,33.2,1308.8
20650,2.37,46.31,1617.83,33.19,1309.26
20700,2.38,46.86,1586.68,33.18,1317.75
20350,2.4,47.89,1579.09,33.25,1292.76
20350,2.41,48.36,1575.55,33.35,1289.98
20250,2.44,47.64,1574.9,33.24,1285.56
20300,2.42,47.45,1571.78,33.25,1291.18
20250,2.39,48.72,1568.89,33.22,1283.6
20250,2.405,46.8,1568.89,33.27,1283.61
20100,2.45,47.72,1566.83,33.3,1271.87
20100,2.4,47.49,1567.41,33.26,1282.36
20050,2.33,49.68,1571.83,33.25,1277.56
19950,2.36,49,1577.95,33.27,1261.41
19900,2.38,49.31,1575.37,33.29,1257.61
19900,2.37,49.72,1579.32,33.27,1259.03
19950,2.39,49.74,1580.24,33.25,1266.46
20000,2.4,49,1580.27,33.29,1268.8
20050,2.435,50.3,1573.92,33.3,1268.8
20000,2.49,49.97,1582.22,33.37,1270.16
19900,2.49,48.79,1584.74,33.41,1260.5
19850,2.51,48.64,1583.52,33.47,1250
19850,2.46,46.63,1578.64,33.4,1254.77
19850,2.48,45.78,1574.45,33.44,1255.66
19750,2.49,47.27,1577.52,33.61,1241.03
19800,2.485,46.48,1574.71,33.58,1242.58
19700,2.5,46.17,1575.35,33.62,1233.84
19700,2.505,46.89,1581.45,33.77,1228.6
19700,2.49,45.62,1581.43,33.95,1220.21
19650,2.53,45.9,1572.43,34.075,1217.95
19650,2.56,44.76,1570.3,34.12,1214.59
19800,2.5,45.87,1575.15,34,1227.06
19800,2.47,47.25,1575.78,33.99,1223.55
20000,2.51,46.51,1577.18,33.925,1241.46
20150,2.46,45.12,1586.91,33.96,1249.18
20150,2.43,43.89,1586.51,33.97,1247.37
20050,2.42,43.65,1589.47,33.97,1243.65
20200,2.41,43.38,1585.84,33.94,1258.13
20200,2.44,42.72,1578.26,34.01,1245.55
20100,2.51,43.61,1577.29,34.02,1243.16
20100,2.49,44.33,1583.74,33.97,1244.04
20150,2.46,44.89,1579.74,33.94,1254
20100,2.46,44.9,1575.28,33.9,1260.7
20400,2.51,46.13,1574.09,33.91,1266.28
20450,2.55,46.22,1565.41,34.055,1264.75
20500,2.54,45.8,1566.85,34.06,1267.42
20750,2.56,45.85,1567.76,34.06,1287.45
20800,2.555,47.98,1571.14,33.96,1294.39
20650,2.585,47.4,1568.18,34,1280.26
20600,2.565,47.71,1572.5,34.05,1279.34
20500,2.67,48.84,1562.08,34.04,1268.89
20400,2.69,49.88,1572.06,34.14,1263.05
20500,2.66,50.23,1569.84,34.115,1267.24
20450,2.68,51.47,1569.07,34.33,1258.49
20450,2.73,51.71,1565.77,34.43,1251.26
20550,2.73,51.29,1560.84,34.32,1260.13
20400,2.73,50.93,1553.67,34.28,1256.1
20550,2.71,49.25,1544.35,34.48,1261.56
20300,2.71,48.53,1547.51,34.48,1237.31
