Y,BOND10THB,OIL,SET,USD_THB,XAU_USD
30050,3.16,89.75,1567.37,37.98,1668.4
30350,2.97,82.57,1576.93,37.79,1699.4
29850,3.11,80.29,1586.51,37.85,1661.3
29400,3.12,78.75,1626.61,37.53,1645.4
29300,2.83,83.6,1640.5,37.02,1663.67
29300,2.83,85.02,1640.62,36.96,1675.47
29600,2.7,87.24,1643.39,36.66,1701.86
29850,2.45,91.85,1632.92,36.47,1723.83
29900,2.45,95.8,1631.17,36.32,1738.36
29800,2.47,92.28,1622.43,36.19,1736.19
29850,2.45,94.82,1638.51,36.1,1751.55
29800,2.51,90.1,1613.2,36.12,1736.4
29700,2.57,89.63,1623.72,35.74,1747.05
29950,2.35,87.39,1629.44,35.51,1779.74
30100,2.38,91.3,1621.2,35.3,1802.05
30050,2.46,89.71,1616.4,35.41,1794.21
30000,2.49,89.87,1608.96,35.615,1789.21
30300,2.44,89.99,1599.96,36.24,1765.34
30350,2.44,92.2,1588.76,36.15,1772.23
30300,2.49,96.44,1584.93,36.28,1765.05
29950,2.55,93.95,1563.16,36.69,1719.69
29950,2.55,92.83,1553.7,36.68,1728.15
29700,2.53,94.34,1539.13,36.65,1707.94
29750,2.77,94.14,1543.4,36.21,1735.7
30550,2.77,105.6,1566.51,35.71,1808.74
30400,2.86,106.67,1587.82,35.2,1817.8
30250,2.88,109,1588.03,35.18,1819.95
30750,2.9,104.37,1577.89,35.5,1838.15
30750,2.97,102.53,1564.21,35.39,1837.87
30300,3.05,114.09,1604.73,34.81,1833.99
30200,3.05,116.41,1605.54,35.02,1808.35
30250,3.2,118.45,1597.17,34.9,1819.1
30650,3.04,117.71,1611.84,34.75,1875.8
30200,2.87,117.7,1639.1,34.42,1852.51
30150,2.9,107.68,1632.12,34.1,1865.09
30000,2.99,107.68,1636.12,34.145,1853.59
29950,3.39,111.61,1595.6,34.72,1824.18
30500,3.36,103.94,1607.28,34.635,1852.58
30200,3.31,97.74,1621.35,34.61,1838.41
30450,3.36,100.96,1599.98,34.58,1853.74
30700,2.71,100.59,1663.14,34.34,1886.14
30600,2.205,102.16,1705.86,33.47,1933.38
30400,2.205,105.3,1698.8,33.35,1932.8
30700,2.1,116.03,1654.43,32.69,1977.09
29700,2.09,107.27,1701.26,32.53,1926.49
29400,2.15,93.88,1694.95,32.665,1908.19
28850,2.205,91.62,1712.95,32.14,1900.4
