Y,DJI,Set_One,GBP_THB,EURUSD,Oil,XAG,XAU_XAG,Rhodium,SP_FIVE,JPY_THB,BVN ,Set,NYSE,USD_THB,TenBond_THB
33950.00,33856.81,1957.60,44.29,1.06,87.06,22.64,84.33,5240.00,4357.35,0.24,8.47,1431.83,15541.40,36.34,3.17
33500.00,33863.01,1971.96,43.99,1.06,87.72,22.75,85.06,5240.00,4345.23,0.24,8.48,1443.89,15484.50,36.25,3.29
33150.00,33819.47,1963.17,44.99,1.05,85.96,21.84,84.99,4090.00,4342.37,0.24,8.39,1438.08,15323.70,36.25,3.27
32850.00,33691.45,1965.86,45.25,1.06,86.43,21.85,85.29,4090.00,4366.59,0.25,8.28,1441.84,15450.20,36.62,3.22
32850.00,33099.23,1983.09,44.79,1.06,84.45,21.03,85.03,4090.00,4339.75,0.25,8.30,1454.57,15318.10,36.97,3.29
32150.00,33034.18,1949.86,44.75,1.05,89.42,21.14,86.62,4090.00,4259.31,0.25,7.95,1430.74,15070.90,36.91,3.20
32450.00,33301.70,1990.72,44.67,1.05,88.67,21.09,85.99,4090.00,4233.83,0.25,8.13,1458.65,15049.60,37.08,3.16
31850.00,33431.31,2009.48,44.56,1.05,90.82,22.18,87.35,4090.00,4269.75,0.25,8.23,1473.54,15230.00,36.95,3.17
32000.00,33882.41,2026.55,44.60,1.06,91.76,22.62,83.62,4090.00,4284.52,0.24,8.49,1482.12,15398.20,36.55,3.14
31900.00,33519.44,2048.93,44.52,1.06,93.78,22.57,82.32,4090.00,4328.18,0.25,8.59,1497.65,15478.10,36.56,3.02
32050.00,33682.81,2044.39,44.26,1.05,90.53,22.84,83.23,4090.00,4269.65,0.25,8.45,1494.14,15394.70,36.67,2.98
32250.00,33862.68,2054.69,44.21,1.06,89.88,23.13,83.22,4090.00,4282.63,0.24,8.44,1504.69,15381.60,36.40,3.02
32500.00,33907.59,2083.58,44.05,1.06,90.55,23.55,82.87,4090.00,4312.88,0.24,8.51,1524.39,15593.70,36.19,2.98
32750.00,34077.08,2066.69,44.43,1.07,89.62,23.43,81.74,4090.00,4310.62,0.24,8.50,1514.07,15569.50,35.99,2.62
32800.00,34332.23,2053.15,44.62,1.07,89.30,23.28,81.98,4090.00,4341.74,0.24,8.51,1504.55,15601.60,36.16,2.62
32700.00,34575.50,2078.56,44.65,1.07,91.55,23.28,83.33,4090.00,4374.36,0.24,8.25,1521.66,15859.60,36.14,2.60
32850.00,34571.84,2087.39,44.19,1.07,92.22,23.28,83.22,4090.00,4452.81,0.24,8.29,1527.68,15929.00,36.02,2.60
32850.00,34639.25,2103.10,44.19,1.07,91.20,23.07,83.04,4090.00,4445.41,0.24,8.74,1539.40,15952.50,35.69,2.60
32850.00,34902.04,2118.09,44.40,1.07,90.67,22.66,83.38,4090.00,4445.13,0.24,8.63,1550.04,15973.70,35.71,2.60
32500.00,34687.50,2099.97,44.60,1.06,88.81,22.83,84.40,4090.00,4497.98,0.24,8.71,1538.03,16089.50,35.79,2.57
32400.00,34667.28,2109.71,44.43,1.07,88.75,23.10,83.61,4090.00,4487.78,0.24,8.51,1546.47,15926.60,35.72,2.59
32250.00,34718.80,2109.83,44.51,1.08,87.40,22.92,82.95,4090.00,4462.65,0.24,8.47,1548.93,15953.90,35.60,2.54
32200.00,34512.30,2114.99,44.44,1.07,86.78,22.98,83.60,4090.00,4480.98,0.24,8.44,1551.20,15879.00,35.64,2.53
32200.00,34611.68,2110.13,44.56,1.07,86.72,23.57,83.65,4090.00,4451.30,0.24,8.29,1547.75,15864.20,35.65,2.51
32200.00,34824.39,2112.84,44.48,1.07,86.06,24.00,81.75,4090.00,4490.35,0.24,8.34,1548.87,15942.50,35.47,2.49
32300.00,34876.24,2138.67,44.37,1.08,83.63,24.40,80.90,4090.00,4510.06,0.24,8.41,1569.20,16091.80,35.25,2.52
32250.00,34909.09,2150.77,44.59,1.08,81.70,24.63,79.41,4090.00,4530.60,0.24,8.64,1575.30,16000.40,35.01,2.54
32250.00,34847.80,2152.02,44.27,1.09,81.29,24.73,78.97,4090.00,4517.01,0.24,8.65,1574.30,16074.20,35.05,2.49
32050.00,34531.12,2141.02,44.39,1.09,79.98,24.22,78.33,4090.00,4500.34,0.24,8.71,1566.00,16041.50,35.02,2.49
32050.00,34441.64,2142.46,44.20,1.08,80.15,24.24,79.33,4090.00,4432.75,0.24,8.40,1566.00,15879.60,35.22,2.46
32000.00,34244.54,2127.92,44.09,1.08,78.88,24.16,78.99,4090.00,4426.03,0.24,8.19,1554.74,15766.90,35.16,2.56
31900.00,34439.83,2126.78,44.52,1.08,78.57,24.34,79.39,4090.00,4389.38,0.24,8.14,1552.97,15683.00,34.99,2.54
31800.00,34338.59,2123.52,44.59,1.09,79.64,23.42,78.86,4090.00,4455.16,0.24,8.05,1550.20,15823.30,34.98,2.51
31700.00,34494.17,2104.34,44.94,1.08,80.80,23.32,81.03,4090.00,4396.44,0.24,8.02,1535.54,15690.30,35.04,2.51
